tip	date	distance	residual
Babortus-2308_1940	2007.9041095890411	11017.691681690118	1.8189894035458565E-11
R3-07-2_2007	2007.5	11017.203379186401	-0.08438857401779387
BwIMITA-45_2015	2015.5	11025.203379186392	-0.08051518193133234
2011TE2168711_2011	2011.5	11021.203379186394	-0.08245187797729159
2015TE1184311_2015	2015.3205479452056	11025.523927131599	0.4193979320480139
2011TE448411_2011	2011.5	11021.203379186394	-0.08245187797729159
BwIM-ITA-55_2016	2016.5	11026.203379186394	-0.08003100791756879
F5-07-239A_2007	2007.5	11017.203379186401	-0.08438857401779387
2011TE607611_2011	2011.5	11021.203379186394	-0.08245187797729159
2011TE392211_2011	2011.5	11021.203379186394	-0.08245187797729159
Human-CT-US-1995_1995	1995.5	11005.203379186378	-0.09019866218477546
2016TE600811_2016	2016.5	11026.203379186392	-0.08003100791938778
01-3016-5171_2001	2001.5	11011.203379186387	-0.08729361810401315
2011TE199511_2011	2011.5	11021.203379186394	-0.08245187797729159
2011TE683811_2011	2011.5	11021.203379186394	-0.08245187797729159
2011TE684411_2011	2011.5	11021.203379186394	-0.08245187797729159
Ether-VerB_Unknown	1961.5	10971.203379186405	-0.10666057856724365
Brancorsini	1394.6164383561643	10404.819817543017	0.11886913348462258
BRUC101_Unknown	2015.8602739726027	11026.063653158995	0.41965925336444343
2015TE2627011_2015	2015.5	11025.203379186392	-0.08051518193133234
UK31-99_1999	1999.5	11009.203379186383	-0.08826196613154025
2012TE1848511_2012	2012.5	11022.20337918639	-0.081967703968985
2011TE447811_2011	2011.5	11021.203379186394	-0.08245187797729159
2017TE307211_2017	2017.5	11027.203379186392	-0.07954683390744322
BwIM-MAR-25_2016	2016.5	11026.203379186394	-0.08003100791756879
UK3-06_2006	2006.5	11016.203379186398	-0.08487274803337641
BmWS93_2015	2015.6082191780822	11025.811598364475	0.4195372149843024
BwIM-XXX-54_2015	2015.5	11025.203379186392	-0.08051518193133234
BwIM-ALB-46_2015	2015.5	11025.203379186392	-0.08051518193133234
BwIM-XXX-12_2015	2015.5	11025.203379186392	-0.08051518193133234
F9-05_2005	2005.5	11015.203379186396	-0.08535692204713996
BwIM-BGR-21_2016	2016.5	11026.203379186394	-0.08003100791756879
BwIM-TUR-5_2014	2014.5	11024.20337918639	-0.08099935594509589
BwIM-TUR-03_2014	2014.5	11024.20337918639	-0.08099935594509589
BwIM-TUR-24_2015	2015.5	11025.203379186392	-0.08051518193133234
NIPH-Bru6_1999	1999.5	11009.203379186383	-0.08826196613154025
BwIM-SYR-53_2015	2015.5	11025.203379186392	-0.08051518193133234
BwIM-SYR-31_2015	2015.5	11025.203379186392	-0.08051518193133234
BwIM-TUR-17_2014	2014.5	11024.20337918639	-0.08099935594509589
NIPH-Bru48_2016	2016.5	11026.203379186394	-0.08003100791756879
BwIM-IRQ-32_2014	2014.5	11024.20337918639	-0.08099935594509589
UK37-05_2005	2005.5	11015.203379186396	-0.08535692204713996
BwIM-SYR-14_2015	2015.5	11025.203379186392	-0.08051518193133234
NIPH-Bru8_2003	2003.5	11013.20337918639	-0.08632527007648605
2010724553_2010	2010.8745433789954	11021.036255898725	0.3755786255169369
1_2011	2011.5	11021.203379186394	-0.08245187797729159
NIPH-Bru2_2006	2006.5	11016.203379186398	-0.08487274803337641
UK22-06_2006	2006.5	11016.203379186398	-0.08487274803337641
BwIM-TUR-27_2015	2015.5	11025.203379186392	-0.08051518193133234
11-1823-3434_Unknown	2013.6493150684933	11023.852694254885	0.4185887645217008
BwIM-IRQ-11_2014	2014.5	11024.20337918639	-0.08099935594509589
LMN18_2018	2018.0876712328768	11028.29105041927	0.42073770123170107
66-59_1966	1966.5	10976.203379186389	-0.10423970852389175
02-7258_Unknown	2013.6493150684933	11023.852694254885	0.4185887645217008
CIIMS-NV-5_2016	2016.2459016393443	11026.449280825738	0.41984596426118515
CIIMS-PH-3_2016	2016.1584699453551	11026.36184913175	0.4198036321067775
64-150_1964	1964.5	10974.203379186396	-0.10520805654050491
BG2-S27_2008	2008.5	11018.2033791864	-0.0839044000076683
NIPH-Bru45_2016	2016.5	11026.203379186394	-0.08003100791756879
BwIM-IRN-28_2015	2015.5	11025.203379186392	-0.08051518193133234
I-308_1986	1986.5	10996.203379186372	-0.09455622829955246
BwIM-TUR-38_2015	2015.5	11025.203379186392	-0.08051518193133234
BwIM-AFG-63_2016	2016.5	11026.203379186394	-0.08003100791756879
BwIM-SAU-09_2015	2015.5	11025.203379186392	-0.08051518193133234
NIPH-Bru47_2016	2016.5	11026.203379186394	-0.08003100791756879
NIPH-Bru43_2015	2015.5	11025.203379186392	-0.08051518193133234
BB17_2010	2010.5	11020.203379186398	-0.08293605198559817
I-349_1999	1999.5	11009.203379186383	-0.08826196613154025
B29_2018	2018.4553652968036	11028.617077816529	0.37924906247462786
BB2_1957	1957.5	10967.203379186418	-0.10859727460228896
20236_2012	2012.4153005464482	11022.618679732837	0.41799128675666
I-216_1970	1970.5	10980.203379186372	-0.10230301249248441
B9_2018	2018.126598173516	11028.288310693242	0.37908988197887084
