Sample_ID	Genbank accession	SRA accession	Collection Date	Host	Country*	Region	Sequence type (ST)	Biovar	Lineage	Global phylogeny	Temporal analysis	cgMLST analysis	cgMLST Complex	BAPS
2011-TE-11811-1-1	NA	SRR11449068	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	no	no	yes	C5	BAPS5
2011-TE-4480-1-1	NA	SRR11449067	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	yes	no	yes	C5	BAPS5
2011-TE-4482-1-1	NA	SRR11449024	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	no	no	yes	C19	BAPS5
2011-TE-4493-1-1	NA	SRR11449013	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	yes	yes	yes	none	BAPS4
2011-TE-4502-1-1	NA	SRR11449002	2011	SHEEP	ITALY	SICILIA	43	3	West Mediterranean	yes	yes	yes	none	BAPS4
2011-TE-744-1-1	NA	SRR11448991	2011	CATTLE	ITALY	PUGLIA	11	3	West Mediterranean	yes	yes	yes	none	BAPS4
2011-TE-746-1-1	NA	SRR11448980	2011	GOAT	ITALY	PUGLIA	11	3	West Mediterranean	no	no	yes	none	BAPS4
2011-TE-7752-1-1	NA	SRR11448969	2011	SHEEP	ITALY	CALABRIA	43	3	West Mediterranean	yes	yes	yes	none	BAPS4
2013-TE-10578-1-1	NA	SRR11449054	2013	GOAT	ITALY	CALABRIA	11	3	West Mediterranean	yes	no	yes	C7	BAPS4
2013-TE-12040-1-1	NA	SRR11449043	2013	CATTLE	ITALY	SICILIA	43	3	West Mediterranean	yes	no	yes	C4	BAPS4
2013-TE-12041-1-2	NA	SRR11449066	2013	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	yes	no	yes	none	BAPS4
2013-TE-12480-1-1	NA	SRR11449065	2013	GOAT	ITALY	CAMPANIA	11	3	West Mediterranean	yes	yes	yes	C8	BAPS4
2013-TE-13476-1-1	NA	SRR11449032	2013	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	yes	no	yes	none	BAPS4
2013-TE-13490-1-1	NA	SRR11449031	2013	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	yes	no	yes	C1	BAPS4
2013-TE-13502-1-1	NA	SRR11449030	2013	SHEEP	ITALY	SICILIA	43	3	West Mediterranean	no	no	yes	C17	BAPS4
2013-TE-13524-1-1	NA	SRR11449029	2013	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	yes	yes	yes	C12	BAPS5
