OldName	NewName 	Species
BwIM-SYR-31_2015	BwIM-SYR-31_Syria_2015	Human
02-5863-1_Unknown	02-5863-1_Missing_Unknown	Missing
01-3016-5171_2001	01-3016-5171_France_2001	Cattle
SKN25_2015	SKN25_India_2015	Sheep
2013TE1500511_2013	2013TE1500511_Italy_2013	Sheep
NIPH-Bru13_2010	NIPH-Bru13_Norway_2010	Human
BwIM-TUR-5_2014	BwIM-TUR-15_Turkey_2014	Human
BMM13-15_2015	BMM13-15_Malaysia_2015	Human
QH61_2015	QH61_China_2015	Yak
F2-06-6_2006	F2-06-6_Portugal_2006	Sheep
C-571_2014	C-571_Russia_2014	Human
BwIM-SOM-36a_2014	BwIM-SOM-36a_Somalia_2014	Human
UK23-06_2006	UK23-06_Somalia_2006	Human
2015IS604318_2015	2015IS604318_Italy_2015	Cattle
2011TE605711_2011	2011TE605711_Italy_2011	Sheep
NCTC8223_1900or1951	NCTC8223_Missing_1900or1951	Missing
CNGB290_1996	CNGB290_Argentina_1996	Human
C-567_2014	C-567_Russia_2014	Human
B9_2018	B9_China_2018	Human
2015TE1616512_2015	2015TE1616512_Italy_2015	Sheep
BwIM-ALB-46_2015	BwIM-ALB-46_Albania_2015	Human
2015IS2529114_2015	2015IS2529114_Italy_2015	Goat
2011TE1184411_2011	2011TE1184411_Italy_2011	Sheep
I-349_1999	I-349_Russia_1999	Human
2011TE1284911_2011	2011TE1284911_Italy_2011	Sheep
QY1_2015	QY1_China_2015	Sheep
Brucellamelitensis-043_Unknown	Brucellamelitensis-043_China_Unknown	Sheep
2011TE607611_2011	2011TE607611_Italy_2011	Cattle
2015TE1184913_2015	2015TE1184913_Italy_2015	Sheep
BwIM-TUR-39_2014	BwIM-TUR-39_Turkey_2014	Human
548_1948	548_Russia_1948	Sheep
2011TE683811_2011	2011TE683811_Italy_2011	Sheep
VRI-6856-11_2011	VRI-6856-11_Malaysia_2011	caprine
NIPH-Bru47_2016	NIPH-Bru47_Norway_2016	Human
BwIM-TUR-02_2016	BwIM-TUR-02_Turkey_2016	Human
BwIM-ITA-55_2016	BwIM-ITA-55_Italy_2016	Human
BL_2012	BL_China_2012	Cattle
2015TE1184311_2015	2015TE1184311_Italy_2015	Missing
BwIM-TUR-40_2014	BwIM-TUR-40_Turkey_2014	Human
ATCC23457_Unknown	ATCC23457_Missing_Unknown	Missing
20236_2012	20236_China_2012	Human
UK14-06_2006	UK14-06_Somalia_2006	Human
I-340_1995	I-340_Russia_1995	Human
BwIM-SYR-14_2015	BwIM-SYR-14_Syria_2015	Human
2017TE307211_2017	2017TE307211_Italy_2017	Human
2015TE1614211_2015	2015TE1614211_Italy_2015	Sheep
