tip	date	distance	residual
Reference	1960.875	0.010619033064737165	5.594196852374937E-5
Babortus-2308_1940	2014.8849315068494	0.010226752435262833	5.204170427930421E-18
BwIM-SOM-36a_2014	2014.5	0.010339516264737166	1.1036672686821729E-4
NIPH-Bru4_2006	2006.5	0.010244667264737165	-3.43010603906322E-5
NIPH-Bru11_2010	2010.5	0.010304789564737165	5.073063323879183E-5
NIPH-Bru1_2005	2005.5	0.010207045464737165	-7.815020879798837E-5
NIPH-Bru9_2003	2003.5	0.010187650864737165	-1.0999950561270053E-4
UK19-04_2005	2005.5	0.010281004764737166	-4.190908797987655E-6
NIPH-Bru24_2012	2012.5	0.010240650864737166	-9.533699464950307E-7
NIPH-Bru46_2016	2016.5	0.010309569864737165	9.287502368292809E-5
UK14-06_2006	2006.5	0.010248322364737165	-3.064596039063262E-5
UK23-06_2006	2006.5	0.010290716364737166	1.174803960936853E-5
Uk24-06_2006	2006.5	0.010237803264737166	-4.116506039063099E-5
UK22-04_2004	2004.5	0.010225859864737166	-6.556315720534361E-5
F1-06B10_2006	2006.5	0.010322275164737165	4.330683960936804E-5
