tip	date	distance	residual
Reference	1960.875	0.016819796753089023	0.0014077422205742256
02-7258_Unknown	2013.6493150684933	0.015361948853089023	1.6030446769520895E-5
CIIMS-NV-5_2016	2016.2459016393443	0.015362130053089023	1.9465657302939268E-5
CIIMS-PH-3_2016	2016.1584699453551	0.015419588553089022	7.68145889733507E-5
66-59_1966	1966.5	0.015187906453089022	-2.1709889822151517E-4
F6-05-6_2005	2005.5	0.015172445253089022	-1.836857752053108E-4
LMN18_2018	2018.0876712328768	0.015322823453089022	-1.7532859567940054E-5
64-150_1964	1964.5	0.015197678153089023	-2.098335737608075E-4
2007BM-1_2007	2007.8602739726027	0.015272846553089022	-8.032660872982905E-5
CIIMS-NV-1_2016	2016.2295081967213	0.015228408653089023	-1.1427628675885967E-4
CIIMS-BH-2_2016	2016.1475409836066	0.015183029653089023	-1.5975800706784574E-4
BB8_1991	1991.5	0.015179291253089023	-1.9438440398035842E-4
BL_2012	2012.5	0.015174059953089023	-1.7329876081778606E-4
I-194_1965	1965.5	0.015222940453089022	-1.8331808599116213E-4
I-338_1993	1993.5	0.015213683653089023	-1.5748562844106542E-4
Brm-1252-10-Geo_2010	2010.5	0.015235415753089024	-1.1444933635707671E-4
Brm-1268-11-Geo_2011	2011.5	0.015208618953089023	-1.3999294858743107E-4
NIPH-Bru7_2002	2002.5	0.015405792853089023	4.59022614857519E-5
C-571_2014	2014.5	0.015213219553089023	-1.3163278527849286E-4
C-569_2014	2014.5	0.015243053953089024	-1.0179838527849157E-4
C-572_2014	2014.5	0.015196690553089023	-1.4816178527849236E-4
Brm-1771-12-Geo_2012	2012.5	0.015235504753089022	-1.1185396081778674E-4
C-555_2012	2012.5437158469945	0.015241670853089022	-1.0563307665299379E-4
C-573_2014	2014.5	0.015250333653089022	-9.45186852784937E-5
BwIM-TUR-51_2014	2014.5	0.015146906053089023	-1.9794628527849273E-4
F2-06-6_2006	2006.5	0.015226558153089022	-1.2831968743566395E-4
C-570_2014	2014.5	0.015191185653089023	-1.5366668527849216E-4
KIV-L_2014	2014.5	0.015271263053089023	-7.358928527849244E-5
20236_2012	2012.4153005464482	0.015391118353089022	4.365349486292608E-5
M28_Unknown	1955.5	0.015365596653089023	-5.3193763687623546E-5
BB18_2013	2013.5	0.015360293253089023	1.4187726951860394E-5
I-349_1999	1999.5	0.015266830353089022	-9.681980182318917E-5
B9_2018	2018.126598173516	0.015445377653089024	1.0507012319797837E-4
CIT21_2015	2015.1616438356164	0.015507137153089023	1.6311397868416268E-4
BB20_2011	2011.5	0.015359630653089023	1.1018751412569111E-5
I-216_1970	1970.5	0.015311934453089024	-8.805814714292828E-5
BB1_1973	1973.5	0.015207120253089023	-1.8911278383399073E-4
Brucellamelitensis-043_Unknown	2013.021917808219	0.015960915453089024	6.142108001962361E-4
I-136_1959	1959.5	0.015282392453089023	-1.3138521260903924E-4
BB9_1990	1990.5	0.015156693753089022	-2.1823509175000408E-4
I-280_1983	1983.5	0.015257801053089022	-1.259001061375293E-4
I-340_1995	1995.5	0.015267419253089023	-1.012436529017717E-4
I-370_2010	2010.5	0.015307028353089024	-4.2836736357076965E-5
CIT31_2015	2015.1616438356164	0.015318395653089022	-2.562752131583801E-5
CIT43_2015	2015.1616438356164	0.015419981153089023	7.595797868416299E-5
BB17_2010	2010.5	0.015326659553089022	-2.3205536357078643E-5
BB7_1980	1980.5	0.015320024853089023	-6.743586944646732E-5
BwIM-AFG-63_2016	2016.5	0.015292883753089022	-4.946220973920182E-5
BwIM-TUR-38_2015	2015.5	0.015233252053089022	-1.1034709750884844E-4
BwIM-SYR-01_2015	2015.5	0.015259498653089024	-8.410049750884677E-5
NIPH-Bru43_2015	2015.5	0.015502520653089023	1.5892150249115222E-4
BwIM-KWT-42_2016	2016.5	0.015422459453089022	8.011349026079868E-5
NIPH-Bru47_2016	2016.5	0.015843251953089024	5.009059902607998E-4
BwIM-TKM-56_2015	2015.5	0.015261427353089023	-8.217179750884783E-5
I-308_1986	1986.5	0.015310751453089022	-6.919014282858946E-5
NIPH-Bru45_2016	2016.5	0.015376606953089022	3.426099026079821E-5
BG2-S27_2008	2008.5	0.015328281453089024	-2.4090011896370223E-5
Phil1136_2012	2012.5	0.015375883453089023	2.852473918221396E-5
SKN25_2015	2015.9698630136986	0.015156793353089022	-1.8621697092667186E-4
UK29-05_2005	2005.5	0.015135617953089023	-2.205130752053093E-4
1-VerB_2013	2013.5	0.015574485053089022	2.2837952695185966E-4
BwIM-SYR-10_2016	2016.5	0.015420968653089022	7.862269026079859E-5
BwIM-IRQ-32_2014	2014.5	0.015460942653089022	1.1609031472150678E-4
BwIM-TUR-17_2014	2014.5	0.015476329853089024	1.314775147215081E-4
BwIM-SYR-41_2016	2016.5	0.015446087453089022	1.0374149026079818E-4
UK37-05_2005	2005.5	0.015366220553089022	1.0089524794689927E-5
2010724553_2010	2010.8745433789954	0.015436645853089022	8.725013682468058E-5
BwIM-SYR-14_2015	2015.5	0.015352488953089022	8.889802491151427E-6
BwIM-SYR-34_2015	2015.5	0.015393767153089023	5.016800249115286E-5
NIPH-Bru41_2014	2014.5	0.015586627653089023	2.4177531472150716E-4
NIPH-Bru8_2003	2003.5	0.015486630653089022	1.2799324925539743E-4
BwIM-BGR-21_2016	2016.5	0.015371270153089023	2.8924190260799787E-5
NIPH-Bru5_1999	1999.5	0.015536359153089024	1.7270899817681262E-4
BwIM-TUR-5_2014	2014.5	0.015468000953089023	1.2314861472150808E-4
BwIM-TUR-03_2014	2014.5	0.015323811453089023	-2.104088527849282E-5
BwIM-TUR-24_2015	2015.5	0.015385376153089023	4.1777002491152904E-5
NIPH-Bru6_1999	1999.5	0.015538228453089022	1.7457829817681125E-4
11-1823-3434_Unknown	2013.6493150684933	0.015337622453089023	-8.295953230479103E-6
BwIM-TUR-27_2015	2015.5	0.015277241853089023	-6.635729750884695E-5
NIPH-Bru20_2011	2011.5	0.015527962653089023	1.7935075141256931E-4
NIPH-Bru2_2006	2006.5	0.015500581153089023	1.4570331256433776E-4
BwIM-IRQ-11_2014	2014.5	0.015337702053089023	-7.150285278492707E-6
BwIM-XXX-54_2015	2015.5	0.015323301853089022	-2.0297297508848136E-5
BwIM-ALB-46_2015	2015.5	0.015336166753089023	-7.432397508846944E-6
BwIM-XXX-12_2015	2015.5	0.015359859053089023	1.625990249115236E-5
F9-05_2005	2005.5	0.015356128353089023	-2.6752053090134398E-9
BmWS93_2015	2015.6082191780822	0.015330674153089023	-1.2789378558433762E-5
UK3-06_2006	2006.5	0.015217128453089023	-1.3774938743566292E-4
Babortus-2308_1940	2014.8849315068494	0.015344369946910979	-1.734723475976807E-18
