Query	Match	Name	Organism
group_2606	ACD72426	Rhodopsin-like GPCR superfamily [Brucella abortus S19]	Brucella abortus S19
group_2615	EEW87607	LOW QUALITY PROTEIN: hydrolase, partial [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_2660	ENQ89694	hypothetical protein C061_01673 [Brucella melitensis F5/07-239A]	Brucella melitensis F5/07-239A
group_2898	WP_141066231	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme, partial [Brucella melitensis]	Brucella melitensis
group_2981	AAL52164	ribosomal large subunit pseudouridine synthase c [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3018	WP_002970881	helix-turn-helix domain-containing protein, partial [Brucella abortus]	Brucella abortus
group_3117	WP_022583545	antibiotic acetyltransferase [Brucella abortus]	Brucella abortus
group_3157	AEQ08173	hypothetical protein BMNI_I0545 [Brucella melitensis NI]	Brucella melitensis NI
group_3267	AIJ84936	CBS domain protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_3273	AAL52282	hypothetical protein BMEI1101 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_3352	AIJ85133	alkaline phosphatase family protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_3388	OZV57555	aminopeptidase, partial [Brucella melitensis]	Brucella melitensis
group_3413	SPU67009	peptidyl-tRNA hydrolase [Brucella neotomae]	Brucella neotomae
group_3574	ENS87145	hypothetical protein B997_01408 [Brucella melitensis UK3/06]	Brucella melitensis UK3/06
