Gene	Length	GC	Sample	MeanCoverage	Status	CopyNumber	HeteroFrac
aaeA	1029	0.5811	Brancorsini	14.208953420159	Core	0.705603567409011	0.000971817298347911
bmaC_1	324	0.6173	Brancorsini	23.0487270985739	Core	1.1445786036512	0.00617283950617284
group_1138	240	0.5417	Brancorsini	16.6142064088087	Accessory	0.825046220159537	0.0125
group_1322	174	0.5	Brancorsini	31.4616588287241	Accessory	1.56235706105261	0.0229885057471264
group_1977	735	0.5646	Brancorsini	23.616645030164	Accessory	1.17278088616111	0.00272108843537415
group_203	534	0.5468	Brancorsini	20.7487717581696	Core	1.03036493533357	0.00187265917602996
group_2087	606	0.5545	Brancorsini	20.3274159040419	Core	1.00944079088537	0.0033003300330033
group_2303	537	0.5158	Brancorsini	12.094555294432	Accessory	0.600604499826794	0.0037243947858473
group_2340	216	0.5278	Brancorsini	10.8046088118712	Accessory	0.536546943091453	0.00462962962962963
group_2603	504	0.5357	Brancorsini	23.6347323975693	Accessory	1.17367908820238	0.00595238095238095
group_2664	501	0.513	Brancorsini	17.253347970549	Accessory	0.856785402681136	0.00798403193612774
group_2791	324	0.6204	Brancorsini	19.8612414929171	Accessory	0.986290998089386	0.00308641975308642
group_317	750	0.6	Brancorsini	12.1150280910346	Core	0.601621160089546	0.00133333333333333
group_3279	537	0.6406	Brancorsini	19.0368193038976	Accessory	0.945350949908356	0.00186219739292365
group_3846	399	0.594	Brancorsini	19.9477370371886	Core	0.990586287319932	0.0025062656641604
group_4134	393	0.5089	Brancorsini	45.3521597250957	Accessory	2.25214656881976	0.0203562340966921
group_425	372	0.5699	Brancorsini	18.1791820342916	Core	0.902761471353351	0.00268817204301075
group_50	363	0.6006	Brancorsini	32.1684680147874	Accessory	1.59745655560483	0.00550964187327824
group_679	375	0.592	Brancorsini	23.1786500443026	Accessory	1.15103045772403	0.00266666666666667
group_808	1134	0.6014	Brancorsini	23.7431937201121	Core	1.17906517779315	0.000881834215167548
pnp	2145	0.5772	Brancorsini	20.339709166007	Core	1.01005126297583	0.000466200466200466
tgt_1	609	0.5961	Brancorsini	11.7770148934169	Accessory	0.584835735363475	0.00656814449917898
