Query	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene	FunctionalPathway	PMID	PDBID
alkB	WP_004681863	COG3145	0	L	Alkylated DNA repair dioxygenase AlkB	AlkB			3KHC
aqpZ	WP_004684491	COG0580	0	G	Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	GlpF			1FQY
betI	WP_004683258	COG1309	0	K	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	AcrR			2QOP
ccoN	WP_002963527	COG3278	1	C	Cbb3-type cytochrome oxidase, subunit 1	CcoN			3MK7
ccoO	WP_002963526	COG2993	0	C	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO	CcoO			3MK7
ccoS	WP_002963520	COG3197	0	O	Cytochrome oxidase maturation protein, CcoS/FixS family	FixS			
cinA	WP_002967699	COG1546	0	H	Nicotinamide mononucleotide (NMN) deamidase PncC	PncC	NAD biosynthesis		2A9S
clpS	WP_004686968	COG2127	0	O	ATP-dependent Clp protease adapter protein ClpS	ClpS			1LZW
cobN	WP_004683959	COG1429	2	H	Cobalamin biosynthesis protein CobN, Mg-chelatase	CobN	Cobalamine/B12 biosynthesis		4ZHJ
comM	WP_012091020	COG0606	0	O	Predicted Mg-chelatase, contains ChlI-like and ATPase domains, YifB family	YifB			
ctaD	WP_004683126	COG0843	0	C	Heme/copper-type cytochrome/quinol oxidase, subunit 1	CyoB			1AR1
cysD	WP_004686641	COG0175	0	EH	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	CysD	Cysteine biosynthesis		1ZUN
cysG_2	WP_004683946	COG2243	0	H	Precorrin-2 methylase	CobF	Cobalamine/B12 biosynthesis		2QBU
cysW_2	WP_004683971	COG4208	0	P	ABC-type sulfate transport system, permease component	CysW			
dhaL_1	WP_004684112	COG2376	2	G	Dihydroxyacetone kinase	DAK1	Isoprenoid biosynthesis		1UN8
exbD	WP_004684132	COG0848	0	U	Biopolymer transport protein ExbD	ExbD			2JWK
fabA	WP_002968051	COG0764	0	I	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase	FabA	Fatty acid biosynthesis		1MKA
fabI_2	WP_002965233	COG0623	0	I	Enoyl-[acyl-carrier-protein] reductase FabI	FabI	Fatty acid biosynthesis		1C14
fadB	WP_012091085	COG1024	0	I	Enoyl-CoA hydratase/carnithine racemase	CaiD	Fatty acid biosynthesis		1DCI
flbT	WP_004680988	COG5443	0	N	Flagellar biosynthesis regulator FlbT	FlbT			
flgD	WP_002966649	COG1843	2	N	Flagellar hook-capping protein FlgD	FlgD			6IEF
fxsA	WP_002965137	COG3030	0	R	FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family	FxsA			
glpD	WP_004686751	COG0578	0	C	Glycerol-3-phosphate dehydrogenase	GlpA	Isoprenoid biosynthesis		2RGH
glpK	WP_002972025	COG0554	2	C	Glycerol kinase	GlpK			2ZF5
gltA	WP_004683858	COG0372	0	C	Citrate synthase	GltA	TCA cycle	25211225	3TQG
group_10	WP_004684705	COG2217	3	P	Cation-transporting P-type ATPase	ZntA			4BBJ
group_10	WP_004684705	COG2217	1	P	Cation-transporting P-type ATPase	ZntA			4BBJ
group_1022	WP_002963433	COG0832	0	E	Urease beta subunit	UreB			
group_1048	WP_004681829	COG2354	0	L	Membrane protein MutK/YedI, may be involved in DNA repair	MutK		9922251;10411738;31497001	
group_105	WP_004683039	COG0009	1	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	TsaC	tRNA modification		1HRU
group_1051	WP_002967320	COG1596	1	M	Periplasmic protein Wza involved in polysaccharide export, contains SLBB domain of the beta-grasp fold	Wza		17250770	2J58
group_1054	WP_002969358	COG1802	0	K	DNA-binding transcriptional regulator, GntR family	GntR			3FMS
group_1071	WP_004686237	COG2834	0	M	Outer membrane lipoprotein-sorting protein	LolA			1IWL
group_1098	WP_002967079	COG0526	1	O	Thiol-disulfide isomerase or thioredoxin	TrxA			1XFL
group_1113	WP_004681480	COG1024	0	I	Enoyl-CoA hydratase/carnithine racemase	CaiD	Fatty acid biosynthesis		1DCI
group_1146	WP_004684212	COG2258	0	FV	N-hydroxylaminopurine reductase YiiM, contains MOSC domain	YiiM		18312271;29459651	1O65
group_1151	WP_004684170	COG0365	0	I	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Acs		14638756	4B2O
group_1153	WP_005970903	COG5317	0	S	Uncharacterized conserved protein, DUF1465 domain				3CTW
group_1179	WP_002964538	COG0773	0	M	UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family	MurC	Mureine biosynthesis		
group_1189	WP_002964450	COG0586	0	M	Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family	DedA		24312110;25917916	
group_1228	WP_004685460	COG0123	0	Q	Acetoin utilization deacetylase AcuC or a related deacetylase	AcuC			1C3P
group_1256	WP_004686757	COG5514	0	S	Uncharacterized conserved protein, DUF1794 domain				
group_1287	WP_004681091	COG0600	0	P	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	TauC			
group_129	WP_002964543	COG0770	0	M	UDP-N-acetylmuramyl pentapeptide synthase	MurF	Mureine biosynthesis		4CVK
group_1310	WP_002964026	COG5457	0	S	Uncharacterized conserved protein YjiS, DUF1127 family	YjiS			
group_1318	WP_002963999	COG1573	0	L	Uracil-DNA glycosylase	Udg4			3IKB
group_1326	WP_002963957	COG1136	0	M	ABC-type lipoprotein export system, ATPase component	LolD			5GKO
group_1359	WP_002963808	COG5350	0	R	Predicted protein tyrosine phosphatase				
group_1372	WP_002971034	COG1752	0	R	Predicted acylesterase/phospholipase RssA, containd patatin domain	RssA			5FQU
group_1374	WP_002967668	COG4976	0	R	Predicted methyltransferase, contains TPR repeat				
group_1429	WP_005969939	COG4564	0	T	Signal transduction histidine kinase				2QHK
group_144	WP_004681086	COG3119	0	P	Arylsulfatase A or related enzyme, AlkP superfamily	AslA			1E1Z
group_1473	WP_002965827	COG1802	0	K	DNA-binding transcriptional regulator, GntR family	GntR			3FMS
group_149	WP_075589504	COG2067	2	I	Long-chain fatty acid transport protein	FadL			1T16
group_1498	WP_002966241	COG1109	0	G	Phosphomannomutase	ManB			6MNV
group_1509	WP_002964985	COG3735	0	S	Uncharacterized conserved protein YbaP, TraB family	TraB			
group_1522	WP_002969497	COG3703	0	P	Gamma-glutamylcyclotransferase ChaC2 (glutathione degradation)	ChaC2		27913623	5HWI
group_1525	WP_002965066	COG0708	0	L	Exonuclease III	XthA			1AKO
group_1528	WP_002968005	COG0271	0	KT	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation	BolA		19111750;2569159	2DHM
group_1532	WP_004684535	COG0424	0	Q	7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily	Maf		24210219	2P5X
group_1620	WP_004684277	COG1289	2	S	Uncharacterized membrane protein YccC	YccC			
group_1627	WP_004684210	COG4784	0	R	Putative Zn-dependent protease				
group_1634	WP_002964806	COG1802	0	K	DNA-binding transcriptional regulator, GntR family	GntR			3FMS
group_1640	WP_005970918	COG0121	0	R	Predicted glutamine amidotransferase YafJ	YafJ			1TE5
group_1654	WP_002967852	COG0673	0	R	Predicted dehydrogenase	MviM			3UUW
group_1740	WP_004682090	COG1570	0	L	Exonuclease VII, large subunit	XseA			
group_1745	WP_002965282	COG0537	0	FR	Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family	HinT		20934431	1AV5
group_1787	WP_002965533	COG5328	0	S	Uncharacterized conserved protein, UPF0262 family				
group_1801	WP_004684679	COG0776	0	L	Bacterial nucleoid DNA-binding protein IHF-alpha	HimA			1B8Z
group_1825	WP_004683729	COG0746	0	H	Molybdopterin-guanine dinucleotide biosynthesis protein A	MobA	Molybdopterin biosynthesis	32239579	1E5K
group_1832	WP_002964036	COG0511	0	I	Biotin carboxyl carrier protein	AccB	Fatty acid biosynthesis		1A6X
group_1850	WP_010657981	COG1937	0	K	DNA-binding transcriptional regulator, FrmR family	FrmR			2HH7
group_1853	WP_002965914	COG5457	0	S	Uncharacterized conserved protein YjiS, DUF1127 family	YjiS			
group_1861	WP_002965972	COG5457	2	S	Uncharacterized conserved protein YjiS, DUF1127 family	YjiS			
group_1929	WP_004683169	COG5389	0	S	Uncharacterized conserved protein, DUF721 domain				
group_1934	WP_002963616	COG0236	0	I	Acyl carrier protein	AcpP	Fatty acid biosynthesis		1ACP
group_1951	WP_002963480	COG2197	0	TK	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	CitB			1A04
group_1957	WP_002965665	COG1402	0	H	Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis)	ArfB	Riboflavin/FAD biosynthesis		1J2T
group_1986	WP_002966125	COG1320	0	P	Multisubunit Na+/H+ antiporter, MnhG subunit	MnhG			6CFW
group_1995	WP_002966169	COG2391	0	R	Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains	YedE			
group_2023	WP_004685219	COG0640	1	K	DNA-binding transcriptional regulator, ArsR family	ArsR			3F6V
group_2039	WP_002965069	COG3786	0	M	L,D-peptidoglycan transpeptidase YkuD, ErfK/YbiS/YcfS/YnhG family			16647082	
group_2052	WP_002965221	COG1396	0	K	Transcriptional regulator, contains XRE-family HTH domain	HipB			1ADR
group_2062	WP_004684593	COG0111	0	H	Phosphoglycerate dehydrogenase or related dehydrogenase	SerA	Serine biosynthesis		3OET
group_2074	WP_004683841	COG2919	0	D	Cell division protein FtsB	FtsB			4IFF
group_2092	WP_002965604	COG1803	0	G	Methylglyoxal synthase	MgsA		9665712	1S8A
group_2096	WP_004682439	COG0251	0	V	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	RidA	Pyrimidine degradation	22094463;32205462	1J7H
group_2115	WP_002966391	COG2259	0	S	Uncharacterized membrane protein YphA, DoxX/SURF4 family	DoxX			
group_2130	WP_002972196	COG1177	0	E	ABC-type spermidine/putrescine transport system, permease component II	PotC			
group_2135	WP_004681240	COG0115	0	EH	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	IlvE	Isoleucine, leucine, valine biosynthesis		1A3G
group_215	WP_012093105	COG4177	0	E	ABC-type branched-chain amino acid transport system, permease component	LivM			
group_2150	WP_012091240	COG1605	0	E	Chorismate mutase	PheA	Aromatic amino acid biosynthesis		1ECM
group_2155	WP_002964855	COG3193	0	T	Heme-binding protein HbpS, GlcG/HbpS family	GlcG		19244623;25342754	2A2L
group_2165	WP_002967906	COG5570	0	S	Uncharacterized conserved protein, DUF465 domain				
group_2166	WP_002964825	COG5509	0	S	Uncharacterized small protein, DUF1192 family				
group_2189	WP_002967840	COG3153	0	R	Predicted N-acetyltransferase YhbS	yhbS			4ZBG
group_2190	WP_002967836	COG3153	0	R	Predicted N-acetyltransferase YhbS	yhbS			4ZBG
group_2219	WP_002964470	COG0832	1	E	Urease beta subunit	UreB			
group_2432	WP_004683475	COG5511	2	X	Phage capsid protein				
group_2462	WP_002966695	COG0443	2	O	Molecular chaperone DnaK (HSP70)	DnaK			3I33
group_2502	WP_012091053	COG1866	0	C	Phosphoenolpyruvate carboxykinase, ATP-dependent	PckA	Gluconeogenesis		1AQ2
group_2513	WP_002969380	COG2827	0	L	Predicted endonuclease, GIY-YIG superfamily	YhbQ			1YWL
group_2544	WP_012093398	COG1028	0	I	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FabG	Fatty acid biosynthesis		6L1H
group_2545	WP_002971377	COG1396	2	K	Transcriptional regulator, contains XRE-family HTH domain	HipB			1ADR
group_317	WP_004683138	COG3346	0	O	Cytochrome oxidase assembly protein ShyY1	Shy1			
group_348	WP_004684526	COG2984	0	R	ABC-type uncharacterized transport system, periplasmic component				3LFT
group_3590	WP_002963630	COG1845	1	C	Heme/copper-type cytochrome/quinol oxidase, subunit 3	CyoC			1QLE
group_3595	WP_002967723	COG4575	0	J	Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family	ElaB			
group_36	WP_004686886	COG0145	1	EQ	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	HyuA			
group_36	WP_004686886	COG0146	1	EQ	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit	HyuB			5L9W
group_3616	WP_004683653	COG5467	0	S	Uncharacterized conserved protein, DUF1476 domain			16468998	
group_3624	WP_002963803	COG0736	0	I	Phosphopantetheinyl transferase (holo-ACP synthase)	AcpS			1F7L
group_3644	WP_002964913	COG2261	0	R	Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family	YeaQ			
group_3657	WP_004684639	COG3339	0	S	Uncharacterized membrane protein YkvA, DUF1232 family	YkvA			
group_367	WP_004684256	COG0665	0	E	Glycine/D-amino acid oxidase (deaminating)	DadA			3AWI
group_3672	WP_002963968	COG0271	0	KT	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation	BolA		19111750;2569159	2DHM
group_3725	WP_002964640	COG1825	1	J	Ribosomal protein L25 (general stress protein Ctc)	RplY	Ribosome 50S subunit		1B75
group_3817	WP_002963914	COG0776	0	L	Bacterial nucleoid DNA-binding protein IHF-alpha	HimA			1B8Z
group_3868	WP_002964730	COG5591	0	S	Uncharacterized conserved protein				
group_3898	WP_002965761	COG1764	0	V	Organic hydroperoxide reductase OsmC/OhrA	OsmC			1QWI
