pos	5pC>T
1	0.00240759099277723
2	0.013289294734797
3	0.00632986042854335
4	0.0056437518205651
5	0.00406910336950314
6	0.00321892047572256
7	0.00251585698593246
8	0.0018957345971564
9	0.00190153505739179
10	0.0021531515888175
11	0.00168044632654433
12	0.00235409859105443
13	0.00193478031448975
14	0.00170392584514722
15	0.00209804881460242
16	0.00223079919266315
17	0.00171538355976396
18	0.00209797545368719
19	0.00244195922989807
20	0.00243258985164628
21	0.00268307516187887
22	0.00262589928057554
23	0.00214621988368873
24	0.00166873779513581
25	0.00190284709008006
