Genome	Gene	MeanCoverage	sdCoverage	PercentCoverage	CV	Length	GC	GCCorrected
Brancorsini	aaeA	14.3556851311953	10.3524381628834	0.752186588921283	0.721138564148867	1029	0.5811	14.208953420159
Brancorsini	aaeA_2	21.7381776239908	7.755618266068	0.998846597462514	0.356774077395923	867	0.5813	21.5857220307894
Brancorsini	accC	19.9731884057971	9.25263845211779	0.918840579710145	0.463252950111474	1380	0.5761	19.9695537488866
Brancorsini	accD	21.1946666666667	7.34376826869841	0.996444444444444	0.346491331248352	1125	0.5822	21.0164536037227
Brancorsini	aceA	24.0434108527132	5.8095964718246	1	0.241629463781717	1290	0.6039	23.244156574863
Brancorsini	acnA	17.3649553571429	9.96123821439464	0.812872023809524	0.573640300796812	2688	0.6031	16.5885966079528
Brancorsini	acs_2	23.9494047619048	6.24304336916636	1	0.260676347960718	1008	0.5923	23.4821356496265
Brancorsini	acs_3	20.8798568507157	7.37288758112082	0.991308793456033	0.353110063629008	1956	0.5925	20.4068638562725
Brancorsini	ada	22.1012891344383	6.5816991205584	0.996316758747698	0.297797068782869	1086	0.5958	21.533852084272
Brancorsini	addA	12.5884843353091	13.2740519281369	0.526672311600339	1.05445989958497	3543	0.6142	11.4944501259596
Brancorsini	addB	18.0902777777778	7.67789775720022	0.930555555555556	0.424421219591874	720	0.5903	17.6802474871499
Brancorsini	ade	23.4222222222222	5.75771281596271	1	0.245822653432943	1800	0.5856	23.1467031624726
Brancorsini	adeP	21.4122196442382	6.42420002185169	0.99922660479505	0.30002494503555	1293	0.5947	20.8762639459796
Brancorsini	ahcY	22.1056388294076	7.99144030703422	0.992862241256246	0.361511393934612	1401	0.5817	21.9417354718762
Brancorsini	alaS	22.2170805116629	6.72385986699726	0.99849510910459	0.302643718803087	2658	0.5862	21.9243898054182
Brancorsini	aldA	22.1931623931624	7.25971490337677	0.991452991452991	0.327114936337935	1170	0.612	21.1620908876283
Brancorsini	aldH1	6.18908382066277	7.67944940111519	0.450292397660819	1.24080552528255	513	0.5712	6.32568427679565
Brancorsini	alkB	19.754303599374	5.53195698324045	1	0.280038066409779	639	0.5743	19.8021838819489
Brancorsini	alkJ	19.8707482993197	5.95423898393577	0.995670995670996	0.299648452803341	1617	0.5659	20.159031632826
Brancorsini	alr	22.9783333333333	6.58855356563904	0.999166666666667	0.286728957669067	1200	0.585	22.7199859200789
Brancorsini	ansB	12.9386243386243	9.66759177523905	0.82010582010582	0.747188535830613	945	0.5735	13.0094001498593
Brancorsini	apaG	5.80916030534351	6.39608598087509	0.778625954198473	1.1010345118195	393	0.5649	6.12606304967498
Brancorsini	APOA1BP	20.8964143426295	5.7507382531965	0.99734395750332	0.275202154728755	1506	0.6049	20.0685406539541
Brancorsini	aqpZ	14.8922852983988	9.00777353891619	0.943231441048035	0.604861736021447	687	0.5822	14.7140722354548
Brancorsini	araE	23.243397573162	8.21566454261752	0.997858672376874	0.353462290388378	1401	0.6046	22.4241097077342
Brancorsini	arfB	23.2155555555556	9.26834437072837	0.997777777777778	0.399229919290492	450	0.5911	22.7826297362675
Brancorsini	argB	20.2379349046016	6.86920810576097	1	0.339422383664209	891	0.5836	20.0196546665023
Brancorsini	argC	22.4105037513398	7.24789277229362	0.995712754555198	0.323414986682766	933	0.5927	21.9317868747315
Brancorsini	argD	20.4075907590759	5.6471129375397	0.999174917491749	0.276716296607832	1212	0.5965	19.820120121332
Brancorsini	argH	8.97228144989339	11.0277652617814	0.527363184079602	1.22909265869189	1407	0.5949	8.43060186946971
