Sample	ST	gap	aroA	glk	dnaK	gyrB	trpE	cobQ	int_hyp	omp25	mismatches	uncertainty	depth	maxMAF
2011TE116911_2011	43	12	2	3	2	1	5	3	2	10	0	-	9.23511111111	0
contigs-min1000-min1000-min30-JustBruc	11	3	2	3	2	1	5	3	2	10	0	-	9.18811111111	0
2011TE447111_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.19755555556	0
BwIM-TKM-56_2015	71	3	2	36	2	1	5	3	2	8	0	-	9.19811111111	0
BG2-S27_2008	8	3	2	3	2	1	5	3	2	8	0	-	9.23933333333	0
BwIM-SYR-14_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.22788888889	0
2011TE447411_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.18622222222	0
NIPH-Bru45_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.22788888889	0
LMN19_2018	8	3	2	3	2	1	5	3	2	8	0	-	9.21666666667	0
C-571_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.17155555556	0
2015IS256619_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.20211111111	0
NIPH-Bru7_2002	8	3	2	3	2	1	5	3	2	8	0	-	9.23055555556	0
F10-06-16_2006	39	3	2	24	2	1	5	3	2	8	0	-	9.15366666667	0
CNGB1076_2006	7	3	5	3	2	1	5	2	2	10	0	-	9.214	0
BwIM-TUR-59_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.189	0
2015TE1184711_2015	43	12	2	3	2	1	5	3	2	10	0	-	9.23688888889	0
UK31-99_1999	11	3	2	3	2	1	5	3	2	10	0	-	9.19977777778	0
2015TE1614212_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.18788888889	0
2015IS3088130_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.20322222222	0
QH61_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18788888889	0
BMM-19-15_2015	39	3	2	24	2	1	5	3	2	8	0	-	9.20277777778	0
Sep-63_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.15822222222	0
ADMAS-G1_2013	7*	3	5	3	2	1	5*	2*	2	10	trpE-5/1indel;cobQ-2/1indel	-	9.27833333333	0
BwIM-SYR-31_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.22855555556	0
66-59_1966	8	3	2	3	2	1	5	3	2	8	0	-	9.22744444444	0
16M-VerB_Unknown	7	3	5	3	2	1	5	2	2	10	0	-	9.24655555556	0
2015IS2547111_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.20211111111	0
64-150_1964	41	3	2	26	2	1	5	3	2	8	0	-	9.19366666667	0
NIPH-Bru11_2010	12	3	2	3	2	1	5	2	2	10	0	-	9.21722222222	0
2013TE1502111_2013	11	3	2	3	2	1	5	3	2	10	0	-	9.193	0
00-2782_2000	11	3	2	3	2	1	5	3	2	10	0	-	9.21411111111	0
BB1_1973	8	3	2	3	2	1	5	3	2	8	0	-	9.18155555556	0
2013TE1501911_2013	11	3	2	3	2	1	5	3	2	10	0	-	9.18833333333	0
BwIM-TUR-17_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.17033333333	0
BwIM-BGR-21_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.20244444444	0
2015TE1184712_2015	43	12	2	3	2	1	5	3	2	10	0	-	9.22288888889	0
BMM15-15_2015	39	3	2	24	2	1	5	3	2	8	0	-	9.17	0
2011TE448411_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.22588888889	0
16M-VerC_Unknown	7	3	5	3	2	1	5	2	2	10	0	-	9.24044444444	0
2016TE1727011_2016	11	3	2	3	2	1	5	3	2	10	0	-	9.21655555556	0
UK22-04_2004	10	3	2	3	5	1	5	2	2	10	0	-	9.27066666667	0
I-308_1986	71	3	2	36	2	1	5	3	2	8	0	-	9.19988888889	0
CIIMS-NV-1_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.18155555556	0
BB19_2011	8	3	2	3	2	1	5	3	2	8	0	-	9.21644444444	0
2008724259_2007	11	3	2	3	2	1	5	3	2	10	0	-	9.19833333333	0
NIPH-Bru37_2013	8	3	2	3	2	1	5	3	2	8	0	-	9.17177777778	0
2011TE448011_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21611111111	0
BwIM-ALB-46_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18833333333	0
NIPH-Bru44_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.21655555556	0
2015TE1620011_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21655555556	0
C-568_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.21411111111	0
BB4_1957	8	3	2	3	2	1	5	3	2	8	0	-	9.17422222222	0
2011TE1181511_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.21655555556	0
11-1823-3434_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.18511111111	0
NCTC8223_1900or1951	12	3	2	3	2	1	5	2	2	10	0	-	10.2357777778	0
M28_Unknown	8	3	2	3	2	1	5	3	2	8	0	-	9.18711111111	0
F5-07-239A_2007	11	3	2	3	2	1	5	3	2	10	0	-	9.18888888889	0
2015IS2533111_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.21455555556	0
548_1948	8*	3	2	3*	2	1	5	3	2*	8	glk-3/1indel;int_hyp-2/1indel	-	9.18466666667	0.125
