pos	5pG>A
1	0.220541043452207
2	0.139466890409191
3	0.0882019104074298
4	0.0605626656819567
5	0.0483550500102877
6	0.037759232997588
7	0.0337920643507015
8	0.027874470358056
9	0.0247469917439411
10	0.0218455294258088
11	0.0210344682209387
12	0.0200907067975529
13	0.019160924457714
14	0.0192465379703041
15	0.0186672889096303
16	0.0186691306747662
17	0.0198529950428561
18	0.0202871581559119
19	0.0208571838527786
20	0.0211654403472303
21	0.0218485861964123
22	0.0222557755122542
23	0.0215237360848465
24	0.0217344766844449
25	0.0213963653727835
