Query	Match	PIdent	Length	Mismatches	Gapopen	QStart	QEnd	SStart	SSend	Evalue	Bitscore	Taxa
group_1	WP_004685546	100	196	0	0	1	588	1	196	1.78e-123	356	29459
group_100	WP_004685077	99.763	422	1	0	1	1266	1	422	0	759	29459
group_1001	WP_004685303	100	417	0	0	1	1251	1	417	0	853	234
group_1002	WP_127840809	100	348	0	0	1	1044	1	348	0	668	29459
group_1005	WP_002965189	100	328	0	0	1	984	1	328	0	653	234
group_1006	WP_002965183	100	204	0	0	1	612	1	204	1e-130	375	234
group_1007	WP_004685292	100	364	0	0	58	1149	20	383	0	668	29459
group_1008	WP_004685291	100	211	0	0	1	633	1	211	3.29e-143	407	29459
group_1009	WP_002965170	100	430	0	0	1	1290	13	442	0	873	235
group_1010	WP_025199981	99.515	824	4	0	1	2472	1	824	0	1531	1218315
group_1012	WP_002970401	100	339	0	0	1	1017	1	339	0	706	234
group_1013	WP_004685259	100	403	0	0	1	1209	1	403	0	767	234
group_1015	WP_005974219	100	200	0	0	1	600	1	200	9.21e-130	372	29459
group_1016	WP_004684502	100	249	0	0	1	747	1	249	0	524	234
group_1017	WP_005970584	100	223	0	0	1	669	1	223	1.17e-125	364	234
group_1018	WP_002965046	100	238	0	0	1	714	1	238	2.62e-124	362	234
group_1020	WP_002965036	100	309	0	0	1	927	1	309	0	526	234
group_1021	WP_004684465	100	115	0	0	1	345	24	138	3.21e-77	233	234
group_1023	WP_046722098	100	212	0	0	1	636	1	212	1.33e-135	388	29459
group_1024	WP_004685220	100	467	0	0	1	1401	1	467	0	857	29459
group_1025	WP_005974309	100	414	0	0	1	1242	1	414	0	820	29459
group_1026	WP_004685215	100	433	0	0	1	1299	1	433	0	721	29459
group_1028	WP_005974330	100	253	0	0	1	759	1	253	1.42e-86	267	29459
group_1029	WP_004685362	100	593	0	0	1	1779	1	593	0	1137	29459
group_1030	WP_004687866	99.561	228	1	0	1	684	1	228	1.74e-149	424	29460
group_1031	WP_004685512	100	663	0	0	1	1989	1	663	0	1201	29459
group_1032	WP_004683353	100	85	0	0	1	255	1	85	5.31e-56	176	234
group_1033	WP_004685523	100	308	0	0	1	924	6	313	0	640	29459
group_1034	WP_024768031	99	200	2	0	55	654	19	218	4.98e-101	301	234
group_1035	WP_004685529	100	287	0	0	1	861	1	287	0	588	29459
group_1039	WP_004683498	100	181	0	0	1	543	1	181	1.05e-122	353	234
group_104	WP_006139123	99.851	669	1	0	1	2007	1	669	0	1177	29459
group_1040	WP_002963867	100	264	0	0	1	792	1	264	0	533	234
group_1041	WP_025200702	100	271	0	0	1	813	342	612	0	562	235
group_1042	WP_004683515	99.77	435	1	0	1	1305	1	435	0	851	234
group_1044	WP_004685557	100	398	0	0	1	1194	1	398	0	742	234
group_1045	WP_004683558	100	349	0	0	1	1047	1	349	0	690	234
group_1046	WP_004683578	100	185	0	0	1	555	1	185	1.34e-129	370	234
group_1047	WP_002963913	100	323	0	0	1	969	1	323	0	636	234
group_1048	WP_002971480	100	180	0	0	1	540	1	180	4.28e-117	338	234
group_105	WP_004685318	100	535	0	0	1	1605	1	535	0	1041	29459
group_1050	WP_005969306	100	190	0	0	1	570	1	190	1.86e-133	381	234
group_1051	WP_004685608	100	417	0	0	1	1251	1	417	0	837	29459
group_1052	WP_004685609	100	373	0	0	1	1119	1	373	0	754	234
group_1053	WP_002964053	100	224	0	0	1	672	1	224	2.21e-153	434	234
group_1055	WP_004683722	100	207	0	0	1	621	1	207	5.89e-134	384	234
group_1056	WP_004685617	100	291	0	0	1	873	1	291	0	596	234
group_1057	WP_004683728	100	148	0	0	1	444	1	148	6.18e-104	303	234
group_1058	WP_004682134	100	597	0	0	1	1791	1	597	0	1234	234
group_1059	WP_004684877	100	551	0	0	1	1653	1	551	0	1097	29459
group_1060	WP_004684880	100	537	0	0	1	1611	1	537	0	1058	29459
group_1061	WP_004684885	100	266	0	0	1	798	1	266	2.73e-175	493	29459
group_1062	WP_005975309	99.712	347	1	0	1	1041	1	347	3.98e-173	494	29459
group_1064	WP_046722187	100	164	0	0	1	492	1	164	3.82e-115	332	29459
group_1065	WP_160555782	99.733	374	1	0	1	1122	1	374	0	593	29459
group_1065	WP_087920744	99.733	374	1	0	1	1122	1	374	0	593	29459
group_1067	WP_004681969	99.787	469	1	0	1	1407	1	469	0	835	234
group_1069	WP_004684929	100	351	0	0	1	1053	1	351	0	715	234
group_107	WP_004685295	100	804	0	0	1	2412	1	804	0	1565	29459
group_1070	WP_002965986	100	249	0	0	1	747	1	249	9.5e-163	460	234
group_1071	WP_002965997	100	305	0	0	1	915	1	305	0	635	234
group_1072	WP_004684948	100	729	0	0	1	2187	1	729	0	1399	29459
group_1074	WP_009364302	98.795	166	2	0	1	498	1	166	1.09e-60	195	234
group_1076	WP_002966054	100	95	0	0	1	285	1	95	2.25e-63	196	234
group_1077	WP_004681889	100	224	0	0	1	672	1	224	1.69e-163	459	234
group_1078	WP_005975450	100	332	0	0	1	996	1	332	0	607	234
group_1079	WP_002963433	100	101	0	0	1	303	1	101	1.5e-67	207	234
group_1081	WP_002963464	100	180	0	0	1	540	1	180	3.16e-113	329	234
group_1082	WP_004686613	100	376	0	0	1	1128	1	376	0	748	234
group_1083	WP_004685426	100	455	0	0	1	1365	2	456	0	761	29459
group_1083	WP_025198838	100	455	0	0	1	1365	1	455	0	761	29459
group_1084	WP_004682885	100	151	0	0	1	453	1	151	1.11e-106	310	234
group_1085	WP_005973863	100	413	0	0	1	1239	1	413	0	798	29459
group_1086	WP_046722151	100	347	0	0	1	1041	1	347	0	699	29459
group_1087	WP_025198729	98.907	183	2	0	1	549	1	183	6.01e-65	207	29460
group_1089	WP_004685481	100	463	0	0	1	1389	1	463	0	923	29459
group_1090	WP_006120895	99.816	544	1	0	1	1632	1	544	0	1034	235
group_1091	WP_004683180	100	272	0	0	1	816	1	272	0	531	234
group_1092	WP_006173846	99.701	335	1	0	1	1005	1	335	1.55e-146	426	234
group_1092	WP_006084949	99.701	335	1	0	1	1005	1	335	1.55e-146	426	235
group_1093	WP_002963676	100	284	0	0	1	852	1	284	0	592	234
group_1097	WP_004683624	100	265	0	0	1	795	1	265	0	535	234
group_1098	WP_005973404	100	421	0	0	1	1263	1	421	0	770	29459
group_11	WP_004684705	100	826	0	0	1	2478	1	826	0	1537	234
group_110	WP_004683305	100	291	0	0	1	873	1	291	0	592	234
group_1100	WP_004685584	99.706	340	1	0	1	1020	1	340	0	702	29459
group_1101	WP_025198842	100	255	0	0	1	765	1	255	0	522	29459
group_1104	WP_002964027	99.735	378	1	0	1	1134	1	378	0	564	234
group_1106	WP_002966107	100	410	0	0	1	1230	1	410	0	852	234
group_1107	WP_004684985	100	314	0	0	1	942	1	314	0	597	29459
group_1108	WP_004684994	100	199	0	0	1	597	1	199	2.26e-145	412	234
group_1109	WP_004684997	100	477	0	0	1	1431	1	477	0	906	29459
group_111	WP_004685556	100	397	0	0	1	1191	1	397	0	755	29459
group_1110	WP_006640819	97.357	227	6	0	1	681	1	227	1.89e-139	407	120576
group_1111	WP_004681838	100	162	0	0	1	486	1	162	6.24e-98	289	234
group_1112	WP_127840821	100	306	0	0	1	918	1	306	0	627	29459
group_1113	WP_023080997	100	128	0	0	76	459	26	153	1.83e-78	244	1341688
group_1114	WP_002966175	100	327	0	0	1	981	1	327	0	664	234
group_1115	WP_004681755	100	411	0	0	1	1233	1	411	0	836	234
group_1116	WP_141049035	99.518	415	2	0	1	1245	1	415	0	700	29459
group_1117	WP_004685024	100	305	0	0	46	960	1	305	0	544	234
group_1119	WP_002969358	100	225	0	0	1	675	1	225	4.54e-163	458	234
group_1120	WP_002966223	100	477	0	0	1	1431	1	477	0	960	234
group_1121	WP_002966226	100	182	0	0	1	546	1	182	1.07e-130	373	234
group_1122	WP_004681696	100	210	0	0	1	630	1	210	1.89e-139	397	234
group_1123	WP_005974544	99.832	594	1	0	1	1782	1	594	0	1205	29459
group_1125	WP_005974574	100	101	0	0	1	303	1	101	2.14e-51	166	29459
group_1127	WP_002971274	100	331	0	0	1	993	1	331	0	602	234
group_1128	WP_005974615	100	534	0	0	1	1602	1	534	0	1023	29459
group_1129	WP_004681550	100	218	0	0	1	654	14	231	3.58e-159	449	234
group_113	WP_002968467	100	134	0	0	1	402	1	134	8.66e-91	268	234
group_1130	WP_002968302	100	207	0	0	1	621	1	207	3.06e-131	377	234
group_1131	WP_002971945	100	391	0	0	1	1173	1	391	0	692	234
group_1132	WP_046722130	100	435	0	0	1	1305	1	435	0	889	29459
group_1133	WP_002969393	100	336	0	0	1	1008	1	336	0	678	234
group_1134	WP_004685653	100	203	0	0	1	609	1	203	2.12e-150	425	29459
group_1136	WP_004683764	100	375	0	0	49	1173	17	391	0	720	234
group_1137	WP_002969398	100	116	0	0	1	348	1	116	1.32e-75	228	234
group_1138	WP_004683758	100	459	0	0	1	1377	1	459	0	921	234
group_1139	WP_008935766	100	162	0	0	1	486	1	162	6.1e-102	300	234
group_1140	WP_005973146	99.833	599	1	0	1	1797	1	599	0	1184	29459
