Query	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene	FunctionalPathway	PMID	PDBID
addA	WP_011005472	COG1074	0	L	3’-5’ helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V)	RecB		29901759;30601118	3U44
argF	WP_002963466	COG0078	0	E	Ornithine carbamoyltransferase	ArgF	Arginine biosynthesis		1A1S
argH	WP_002965047	COG0165	0	E	Argininosuccinate lyase	ArgH	Arginine biosynthesis		1AOS
aspS	WP_004683546	COG0173	0	J	Aspartyl-tRNA synthetase	AspS	Aminoacyl-tRNA synthetases		1C0A
bluB	WP_002965598	COG0778	0	C	Nitroreductase	NfnB	Pyrimidine degradation		1F5V
carA	WP_002964590	COG0505	0	EF	Carbamoylphosphate synthase small subunit	CarA	Arginine biosynthesis		1C30
carB	WP_004684046	COG0458	1	EF	Carbamoylphosphate synthase large subunit	CarB	Arginine biosynthesis		1C30
ccmE	WP_002963757	COG2332	0	CO	Cytochrome c biogenesis protein CcmE	CcmE			1J6Q
ccmI	WP_004686785	COG4235	1	CO	Cytochrome c-type biogenesis protein CcmH/NrfG	NrfG			
ccmI	WP_004686785	COG4235	3	CO	Cytochrome c-type biogenesis protein CcmH/NrfG	NrfG			
cobA_2	WP_002969234	COG0007	1	H	Uroporphyrinogen-III methylase (siroheme synthase)	CysG	Cobalamine/B12 biosynthesis		1PJQ
cobA_2	WP_002969234	COG1648	1	H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	CysG2	Heme biosynthesis		1PJQ
cobT_1	WP_004686801	COG2038	0	H	NaMN:DMB phosphoribosyltransferase	CobT	Cobalamine/B12 biosynthesis		1D0S
cobU	WP_002964426	COG2087	0	H	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	CobU	Cobalamine/B12 biosynthesis		1C9K
coxB	WP_002963625	COG1622	0	C	Heme/copper-type cytochrome/quinol oxidase, subunit 2	CyoA			1CYW
cysW_1	WP_002965358	COG4208	0	P	ABC-type sulfate transport system, permease component	CysW			
dapD	WP_002965622	COG2171	0	E	Tetrahydrodipicolinate N-succinyltransferase	DapD	Lysine biosynthesis		3BXY
der	WP_004682999	COG1160	0	J	Double Era-like domain GTPase Der	Der			1MKY
dnaA_1	WP_002970905	COG0593	1	L	Chromosomal replication initiation ATPase DnaA	DnaA			1L8Q
fbcH	WP_004684075	COG1290	0	C	Cytochrome b subunit of the bc complex	QcrB/PetB			1VF5
flaF	WP_004680989	COG5442	0	N	Flagellar biosynthesis regulator FlaF	FlaF			
flgA	WP_006256599	COG1261	2	N	Flagellar basal body P-ring formation protein FlgA	FlgA			3VJP
flgB	WP_004681368	COG1815	0	N	Flagellar basal body rod protein FlgB	FlgB			
fmt	WP_004682455	COG0223	0	J	Methionyl-tRNA formyltransferase	Fmt			1FMT
folB	WP_002964148	COG1539	0	H	Dihydroneopterin aldolase	FolB	Folate biosynthesis		1B9L
glcA_1	WP_004685544	COG1620	2	C	L-lactate permease	LldP			
glmS	WP_004684961	COG0449	0	M	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	GlmS			2J6H
glmU	WP_004681894	COG1207	0	M	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	GlmU			3FWW
glyA2	WP_012092341	COG0112	0	E	Glycine/serine hydroxymethyltransferase	GlyA	Serine biosynthesis		1BJ4
group_1	WP_002969982	COG3293	0	X	Transposase				
group_100	WP_004683305	COG5449	0	S	Uncharacterized conserved protein, DUF2163 domain				
group_1013	WP_002966706	COG0498	0	E	Threonine synthase	ThrC	Threonine biosynthesis		1VB3
group_1030	WP_004682293	COG0665	0	E	Glycine/D-amino acid oxidase (deaminating)	DadA			3AWI
group_1079	WP_004684555	COG1434	0	M	Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family	ElyC		24391520	3CA8
group_1104	WP_002965608	COG0625	0	O	Glutathione S-transferase	GstA			1A0F
group_1185	WP_002964461	COG0614	0	P	ABC-type Fe3+-hydroxamate transport system, periplasmic component	FepB			1ESZ
group_1240	WP_041594640	COG0642	1	T	Signal transduction histidine kinase	BaeS			1JOY
group_1277	WP_004681215	COG2885	0	M	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	OmpA			1OAP
group_1295	WP_002966643	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1300	WP_004683733	COG2989	0	M	Murein L,D-transpeptidase YcbB/YkuD	YcbB		18456808	6NTW
group_1313	WP_004683704	COG2518	0	O	Protein-L-isoaspartate O-methyltransferase	Pcm		24909784	3LBF
group_1342	WP_004681977	COG1653	0	G	ABC-type glycerol-3-phosphate transport system, periplasmic component	UgpB			2Z8D
group_1354	WP_004683323	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1361	WP_004686521	COG5451	0	S	Predicted secreted protein				
group_1363	WP_004686510	COG1028	0	I	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FabG	Fatty acid biosynthesis		6L1H
group_1406	WP_004683163	COG0863	1	L	DNA modification methylase	YhdJ			1BOO
group_1495	WP_002968361	COG0169	0	E	Shikimate 5-dehydrogenase	AroE	Aromatic amino acid biosynthesis		1NPD
group_15	WP_005971048	COG0790	1	R	TPR repeat	TPR			1KLX
group_15	WP_005971048	COG1196	3	D	Chromosome segregation ATPase Smc	Smc			5XG3
group_1534	WP_004684539	COG2821	0	M	Membrane-bound lytic murein transglycosylase	MltA			2AE0
group_1538	WP_004684546	COG1866	0	C	Phosphoenolpyruvate carboxykinase, ATP-dependent	PckA	Gluconeogenesis		1AQ2
group_1575	WP_004682474	COG0289	0	E	4-hydroxy-tetrahydrodipicolinate reductase	DapB	Lysine biosynthesis	29684280	1ARZ
group_1609	WP_002963707	COG3654	0	X	Prophage maintenance system killer protein	Doc			
group_1618	WP_004684303	COG2951	2	M	Membrane-bound lytic murein transglycosylase B	MltB			1D0K
group_1621	WP_002964883	COG5468	0	S	Predicted lipoprotein involved in lipopolysaccharide assembly				
group_169	WP_041594658	COG0673	0	R	Predicted dehydrogenase	MviM			3UUW
group_1718	WP_004681908	COG0494	0	V	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	MutT			4V14
group_178	WP_002963705	COG4448	0	E	L-asparaginase II	AnsA2			
group_187	WP_004683892	COG1686	0	M	D-alanyl-D-alanine carboxypeptidase	DacC			1HD8
group_1907	WP_002970018	COG0492	2	O	Thioredoxin reductase	TrxB			3FBS
group_1948	WP_004682905	COG4782	0	R	Esterase/lipase superfamily enzyme				
group_1953	WP_002963470	COG0717	1	F	dCTP deaminase	Dcd	Thymidylate biosynthesis		1XS1
group_1990	WP_002966140	COG0332	0	I	3-oxoacyl-[acyl-carrier-protein] synthase III	FabH	Fatty acid biosynthesis		1UB7
group_207	WP_004681061	COG1574	0	R	Predicted amidohydrolase YtcJ	YtcJ			3ICJ
