Gene	Length	Sample	MeanCoverage	Status	GC	CopyNumber	HeteroFrac	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene.y	FunctionalPathway	PMID	PDBID
addB	720	Brancorsini	17.7435545311019	Core	0.5903	0.874093810122835	0	WP_004684550	COG1208	2	JM	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	GCD1			6JQ8
addB	720	Geridu	1.88877860624407	Core	0.5903	0.761685380085444	0	WP_004684550	COG1208	2	JM	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	GCD1			6JQ8
ccoG	1551	Brancorsini	22.196407616613	Core	0.5835	1.09345297587562	0	WP_004682974	COG0348	0	C	Polyferredoxin NapH	NapH		27322068	
ccoG	1551	Geridu	2.3215527557985	Core	0.5835	0.936209668694378	0	WP_004682974	COG0348	0	C	Polyferredoxin NapH	NapH		27322068	
ccoN	1626	Brancorsini	11.2134831952233	Core	0.5769	0.552405451437602	0	WP_002963527	COG3278	1	C	Cbb3-type cytochrome oxidase, subunit 1	CcoN			3MK7
ccoO	732	Brancorsini	20.0622169814222	Core	0.5888	0.988317174558443	0	WP_002963526	COG2993	0	C	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO	CcoO			3MK7
ccoP	864	Brancorsini	21.4551382570555	Core	0.6088	1.05693611237529	0	WP_002963524	COG2010	1	C	Cytochrome c, mono- and diheme variants	CccA			1A2S
ccoP	864	Geridu	2.61346840902616	Core	0.6088	1.05393012812067	0	WP_002963524	COG2010	1	C	Cytochrome c, mono- and diheme variants	CccA			1A2S
ccoS	159	Brancorsini	17.2014035614733	Core	0.5346	0.847386038245794	0	WP_002963520	COG3197	0	O	Cytochrome oxidase maturation protein, CcoS/FixS family	FixS			
clpS	351	Brancorsini	18.9040075519348	Core	0.5242	0.931260754923572	0	WP_004686968	COG2127	0	O	ATP-dependent Clp protease adapter protein ClpS	ClpS			1LZW
group_1001	1380	Brancorsini	22.1363249810727	Core	0.592	1.09049314842224	0	WP_004683758	COG3200	0	E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II	AroG2	Aromatic amino acid biosynthesis		6BMC
group_1001	1380	Geridu	1.90451548658503	Core	0.592	0.768031572087107	0	WP_004683758	COG3200	0	E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II	AroG2	Aromatic amino acid biosynthesis		6BMC
group_1022	306	Brancorsini	18.2251218814486	Core	0.5784	0.897817074779725	0	WP_002963433	COG0832	0	E	Urease beta subunit	UreB			
group_1074	1212	Brancorsini	21.0503592998699	Core	0.5858	1.03699564439726	0	WP_004684510	COG3034	1	M	Murein L,D-transpeptidase YafK	YafK			4XZZ
group_1074	1212	Geridu	2.34643050983399	Core	0.5858	0.946242089368537	0	WP_004684510	COG3034	1	M	Murein L,D-transpeptidase YafK	YafK			4XZZ
group_1172	708	Brancorsini	23.1429842977556	Core	0.5918	1.14008381392687	0	WP_002971389	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1172	708	Geridu	1.75637987390997	Core	0.5918	0.708293109319909	0	WP_002971389	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1173	717	Brancorsini	20.1140716737984	Core	0.6053	0.990871672055123	0	WP_004684060	COG0741	3	M	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)	MltE			153L
group_1173	717	Geridu	2.42255934899764	Core	0.6053	0.976942470875472	0	WP_004684060	COG0741	3	M	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)	MltE			153L
group_1276	720	Brancorsini	19.8174460144554	Core	0.5569	0.976259117828695	0	WP_002966517	COG3736	0	U	Type IV secretory pathway, component VirB8	VirB8			2BHM
group_1276	720	Geridu	2.31696376310315	Core	0.5569	0.934359071364542	0	WP_002966517	COG3736	0	U	Type IV secretory pathway, component VirB8	VirB8			2BHM
group_1352	690	Brancorsini	21.3141976930063	Core	0.5797	1.04999301230959	0	WP_002963753	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1352	690	Geridu	3.72973168142417	Core	0.5797	1.50408421823007	0	WP_002963753	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1401	510	Brancorsini	15.4789839577203	Core	0.5627	0.762535152734906	0	WP_004683193	COG3194	0	F	Ureidoglycolate hydrolase (allantoin degradation)	AllA			1XSQ
group_1401	510	Geridu	2.25428245744061	Core	0.5627	0.909081659829916	0	WP_004683193	COG3194	0	F	Ureidoglycolate hydrolase (allantoin degradation)	AllA			1XSQ
group_1428	819	Brancorsini	17.692721762618	Core	0.5995	0.871589655264496	0	WP_004682943	COG3257	0	F	Ureidoglycine aminohydrolase	AllE		19935661	1RC6
group_1428	819	Geridu	2.13276912265075	Core	0.5995	0.860079129682188	0	WP_004682943	COG3257	0	F	Ureidoglycine aminohydrolase	AllE		19935661	1RC6
group_1432	708	Brancorsini	20.7728665496277	Core	0.6285	1.02332562721352	0	WP_004682901	COG1346	0	M	Putative effector of murein hydrolase	LrgB			
group_1432	708	Geridu	1.67631957747895	Core	0.6285	0.676007293970657	0	WP_004682901	COG1346	0	M	Putative effector of murein hydrolase	LrgB			
group_1447	843	Brancorsini	19.5845205705437	Core	0.618	0.96478460248362	0	WP_004682792	COG0829	0	O	Urease accessory protein UreH	UreH			3SF5
group_1447	843	Geridu	1.54987878726996	Core	0.618	0.625017675054892	0	WP_004682792	COG0829	0	O	Urease accessory protein UreH	UreH			3SF5
group_1513	1635	Brancorsini	13.3837075293661	Core	0.556	0.659316366819694	0	WP_004684471	COG2194	0	M	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	OpgE			5ZZU
group_1513	1635	Geridu	1.30221175870189	Core	0.556	0.525141303009026	0	WP_004684471	COG2194	0	M	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	OpgE			5ZZU
group_1525	807	Brancorsini	22.9495997134622	Core	0.5812	1.13055718453547	0	WP_002965066	COG0708	0	L	Exonuclease III	XthA			1AKO
group_1539	720	Brancorsini	15.6316171750175	Core	0.5847	0.770054263419565	0.00138888888888889	WP_002965156	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1539	720	Geridu	1.80449062189842	Core	0.5847	0.727694670332214	0	WP_002965156	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1588	1350	Brancorsini	18.6045662141619	Core	0.5748	0.916509493028247	0	WP_004681527	COG3256	2	P	Nitric oxide reductase large subunit	NorB			3WFC
group_1588	1350	Geridu	2.60931252523445	Core	0.5748	1.0522541900753	0	WP_004681527	COG3256	2	P	Nitric oxide reductase large subunit	NorB			3WFC
