Query	Match	PIdent	Length	Mismatches	Gapopen	QStart	QEnd	SStart	SSend	Evalue	Bitscore	Taxa
argF	WP_002963466.1	100	312	0	0	1	936	1	312	0	651	234
aspS	WP_004683546.1	100	595	0	0	1	1785	1	595	0	1228	234
betI	WP_004683258.1	100	198	0	0	1	594	1	198	5.12e-127	365	234
carB	WP_004684046.1	100	1162	0	0	1	3486	1	1162	0	2335	234
ccmE	WP_008933880.1	99.394	165	1	0	1	495	1	165	3.4e-93	277	520448
ccoS	WP_006173764.1	100	29	0	0	70	156	24	52	1.13e-10	60.1	234
cobT_1	WP_069125125.1	99.705	339	1	0	1	1017	1	339	0	542	29459
coxB	WP_005969785.1	100	284	0	0	1	852	1	284	0	555	234
cysW_1	WP_076770952.1	99.653	288	1	0	1	864	1	288	1.82e-151	434	2632610
der	WP_004682999.1	100	483	0	0	1	1449	1	483	0	912	234
dnaA_1	WP_006104384.1	99.817	546	1	0	1	1638	1	546	0	999	235
fabI_2	WP_002965233.1	100	272	0	0	1	816	1	272	0	555	234
fbcH	WP_004684075.1	100	432	0	0	1	1296	1	432	0	831	234
flaF	WP_002966647.1	100	114	0	0	1	342	1	114	2.48e-75	228	234
flgA	WP_002966427.1	100	160	0	0	1	480	1	160	1.81e-89	267	234
flgB	WP_004681368.1	100	126	0	0	1	378	1	126	2.85e-77	233	234
fmt	WP_004682455.1	100	306	0	0	1	918	1	306	0	619	234
folB	WP_004685641.1	99.16	119	1	0	1	357	1	119	2.09e-81	243	29459
glcA_1	WP_023598755.1	99.704	338	1	0	1	1014	208	545	0	623	120577
glmS	WP_004684961.1	100	607	0	0	1	1821	1	607	0	1210	234
glmU	WP_004684960.1	100	441	0	0	1	1323	1	441	0	890	29459
glpD	WP_004686639.1	100	500	0	0	1	1500	1	500	0	987	234
glpK	WP_005974476.1	100	55	0	0	1	165	1	55	3.99e-33	117	29459
glyA2	WP_005973536.1	100	436	0	0	1	1308	1	436	0	896	29459
group_1	WP_002965542.1	99.18	122	1	0	1	366	1	122	1.06e-73	224	234
group_1022	WP_002963433.1	100	101	0	0	1	303	1	101	1.5e-67	207	234
group_1030	WP_004684831.1	100	427	0	0	1	1281	1	427	0	785	29459
group_1079	WP_004685291.1	100	211	0	0	1	633	1	211	3.29e-143	407	29459
group_1089	WP_127841117.1	100	187	0	0	136	696	46	232	1.69e-84	260	29459
group_1098	WP_004685349.1	100	203	0	0	1	609	1	203	8.61e-146	413	29459
group_1113	WP_006175752.1	100	32	0	0	46	141	230	261	3.27e-12	68.2	234
group_1132	WP_002963726.1	100	149	0	0	1	447	1	149	2.24e-105	306	234
group_1146	WP_004685839.1	100	242	0	0	1	726	1	242	4.18e-178	498	29459
group_1185	WP_002964461.1	99.624	266	1	0	1	798	1	266	9.48e-164	465	234
group_1256	WP_006641031.1	100	63	0	0	1	189	93	155	5.97e-37	130	120576
group_1277	WP_004681215.1	100	172	0	0	1	516	1	172	2.82e-108	316	234
group_1300	WP_004688319.1	99.623	531	2	0	1	1593	136	666	0	1066	234
group_1310	WP_002964026.1	100	48	0	0	1	144	1	48	3.12e-26	99	234
group_1313	WP_004685594.1	100	222	0	0	1	666	1	222	2.4e-162	456	29459
group_1342	WP_002967274.1	100	408	0	0	1	1224	1	408	0	790	234
group_1361	WP_225868622.1	100	92	0	0	1	276	27	118	2.12e-50	164	29459
group_1362	WP_002963818.1	100	55	0	0	1	165	1	55	2.79e-32	114	234
group_1399	WP_076780089.1	98.374	123	2	0	1	369	71	193	3.37e-81	250	1149952
group_1419	WP_002963567.1	100	188	0	0	1	564	1	188	5.29e-113	329	234
group_1473	WP_006192153.1	99.611	257	1	0	1	771	1	257	1.43e-176	495	234
group_148	WP_005968944.1	99.573	234	1	0	1	702	1	234	1.19e-144	413	234
group_149	WP_080630382.1	100	49	0	0	1	147	275	323	2.54e-23	98.6	29459
group_1495	WP_025270785.1	99.632	272	1	0	1	816	1	272	3.84e-173	488	29459
group_1528	WP_002968005.1	100	104	0	0	1	312	1	104	3.54e-69	211	234
group_1534	WP_004684539.1	100	369	0	0	1	1107	1	369	0	659	234
group_1575	WP_004684772.1	100	279	0	0	1	837	1	279	0	526	234
group_1617	WP_006097122.1	100	62	0	0	100	285	19	80	1.62e-35	125	235
group_1621	WP_002964883.1	100	193	0	0	1	579	1	193	4.54e-120	347	234
group_163	WP_015799953.1	99.091	550	5	0	1	1650	1	550	0	1113	444163
group_1631	WP_002964813.1	100	90	0	0	1	270	1	90	5.95e-42	141	234
group_169	WP_004684984.1	100	356	0	0	1	1068	1	356	0	745	234
group_1791	WP_002965510.1	100	60	0	0	1	180	1	60	2.95e-17	77.4	234
group_1798	WP_180881354.1	100	73	0	0	1	219	62	134	8.84e-47	154	2730447
