Query	Match	Name	Organism
argF	WP_002963466	MULTISPECIES: ornithine carbamoyltransferase [Brucella]	Brucella
aspS	WP_004683546	MULTISPECIES: aspartate--tRNA ligase [Brucella]	Brucella
betI	WP_004683258	MULTISPECIES: transcriptional regulator BetI [Brucella]	Brucella
carB	WP_004684046	MULTISPECIES: carbamoyl-phosphate synthase large subunit [Brucella]	Brucella
ccmE	WP_008933880	cytochrome c maturation protein CcmE [Brucella sp. NVSL 07-0026]	Brucella sp. NVSL 07-0026
ccoS	WP_006173764	MULTISPECIES: cbb3-type cytochrome oxidase assembly protein CcoS [Brucella]	Brucella
cobT_1	WP_069125125	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [Brucella melitensis]	Brucella melitensis
coxB	WP_005969785	MULTISPECIES: cytochrome c oxidase subunit II [Brucella]	Brucella
cysW_1	WP_076770952	MULTISPECIES: sulfate ABC transporter permease subunit CysW [unclassified Brucella]	unclassified Brucella
der	WP_004682999	MULTISPECIES: ribosome biogenesis GTPase Der [Brucella]	Brucella
dnaA_1	WP_006104384	chromosomal replication initiator protein DnaA [Brucella abortus]	Brucella abortus
fabI_2	WP_002965233	MULTISPECIES: enoyl-ACP reductase FabI [Brucella]	Brucella
fbcH	WP_004684075	MULTISPECIES: cytochrome b N-terminal domain-containing protein [Brucella]	Brucella
flaF	WP_002966647	MULTISPECIES: flagellar biosynthesis regulator FlaF [Brucella]	Brucella
flgA	WP_002966427	MULTISPECIES: flagellar basal body P-ring formation protein FlgA [Brucella]	Brucella
flgB	WP_004681368	MULTISPECIES: flagellar basal body rod protein FlgB [Brucella]	Brucella
fmt	WP_004682455	MULTISPECIES: methionyl-tRNA formyltransferase [Brucella]	Brucella
folB	WP_004685641	dihydroneopterin aldolase [Brucella melitensis]	Brucella melitensis
glcA_1	WP_023598755	L-lactate permease [Brucella ceti]	Brucella ceti
glmS	WP_004684961	MULTISPECIES: glutamine--fructose-6-phosphate transaminase (isomerizing) [Brucella]	Brucella
glmU	WP_004684960	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Brucella melitensis]	Brucella melitensis
glpD	WP_004686639	MULTISPECIES: glycerol-3-phosphate dehydrogenase [Brucella]	Brucella
glpK	WP_005974476	FGGY family carbohydrate kinase [Brucella melitensis]	Brucella melitensis
glyA2	WP_005973536	serine hydroxymethyltransferase [Brucella melitensis]	Brucella melitensis
group_1	WP_002965542	MULTISPECIES: IS5 family transposase [Brucella]	Brucella
group_1022	WP_002963433	MULTISPECIES: urease subunit beta [Brucella]	Brucella
group_1030	WP_004684831	FAD-binding oxidoreductase [Brucella melitensis]	Brucella melitensis
group_1079	WP_004685291	YdcF family protein [Brucella melitensis]	Brucella melitensis
group_1089	WP_127841117	SH3 domain-containing protein [Brucella melitensis]	Brucella melitensis
group_1098	WP_004685349	DsbE family thiol:disulfide interchange protein [Brucella melitensis]	Brucella melitensis
group_1113	WP_006175752	MULTISPECIES: enoyl-CoA hydratase [Brucella]	Brucella
group_1132	WP_002963726	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1146	WP_004685839	MOSC domain-containing protein [Brucella melitensis]	Brucella melitensis
group_1185	WP_002964461	MULTISPECIES: ABC transporter substrate-binding protein [Brucella]	Brucella
group_1256	WP_006641031	heme-binding beta-barrel domain-containing protein, partial [Brucella pinnipedialis]	Brucella pinnipedialis
group_1277	WP_004681215	MULTISPECIES: OmpA family protein [Brucella]	Brucella
group_1300	WP_004688319	MULTISPECIES: murein L,D-transpeptidase [Brucella]	Brucella
group_1310	WP_002964026	MULTISPECIES: DUF1127 domain-containing protein [Brucella]	Brucella
group_1313	WP_004685594	protein-L-isoaspartate(D-aspartate) O-methyltransferase [Brucella melitensis]	Brucella melitensis
group_1342	WP_002967274	MULTISPECIES: ABC transporter substrate-binding protein [Brucella]	Brucella
group_1361	WP_225868622	TIGR02301 family protein [Brucella melitensis]	Brucella melitensis
group_1362	WP_002963818	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1399	WP_076780089	IS481 family transposase [Brucella sp. 09RB8471]	Brucella sp. 09RB8471
group_1419	WP_002963567	MULTISPECIES: DUF6101 family protein [Brucella]	Brucella
group_1473	WP_006192153	MULTISPECIES: GntR family transcriptional regulator [Brucella]	Brucella
group_148	WP_005968944	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_149	WP_080630382	OmpP1/FadL family transporter [Brucella melitensis]	Brucella melitensis
group_1495	WP_025270785	shikimate dehydrogenase [Brucella melitensis]	Brucella melitensis
group_1528	WP_002968005	MULTISPECIES: BolA family transcriptional regulator [Brucella]	Brucella
group_1534	WP_004684539	MULTISPECIES: murein transglycosylase A [Brucella]	Brucella
group_1575	WP_004684772	MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate reductase [Brucella]	Brucella
group_1617	WP_006097122	hypothetical protein [Brucella abortus]	Brucella abortus
group_1621	WP_002964883	MULTISPECIES: LPS assembly lipoprotein LptE [Brucella]	Brucella
group_163	WP_015799953	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme [Brucella microti]	Brucella microti
group_1631	WP_002964813	MULTISPECIES: DUF4164 domain-containing protein [Brucella]	Brucella
group_169	WP_004684984	MULTISPECIES: Gfo/Idh/MocA family oxidoreductase [Brucella]	Brucella
group_1791	WP_002965510	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1798	WP_180881354	VOC family protein [Brucella sp. 191011898]	Brucella sp. 191011898
group_1801	WP_005973976	integration host factor subunit beta [Brucella melitensis]	Brucella melitensis
group_1830	WP_002964046	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1853	WP_002965914	MULTISPECIES: DUF1127 domain-containing protein [Brucella/Ochrobactrum group]	Brucella/Ochrobactrum group
group_1861	WP_002965972	MULTISPECIES: DUF1127 domain-containing protein [Brucella]	Brucella
group_1907	WP_002970018	MULTISPECIES: thioredoxin reductase [Brucella]	Brucella
group_1908	WP_004689683	hypothetical protein [Brucella suis]	Brucella suis
group_1914	WP_002967636	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1925	WP_182231173	IS481 family transposase [Brucella sp. BO3]	Brucella sp. BO3
group_1932	WP_002963647	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1934	WP_002963616	MULTISPECIES: acyl carrier protein [Hyphomicrobiales]	Hyphomicrobiales
group_1954	WP_004682859	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1986	WP_070329529	MULTISPECIES: monovalent cation/H(+) antiporter subunit G [Brucella]	Brucella
group_2039	WP_002965069	MULTISPECIES: L,D-transpeptidase [Brucella]	Brucella
group_2074	WP_002964259	MULTISPECIES: septum formation initiator family protein [Brucella]	Brucella
group_209	WP_127840839	fumarylacetoacetate hydrolase family protein [Brucella melitensis]	Brucella melitensis
group_2092	WP_002965604	MULTISPECIES: methylglyoxal synthase [Brucella]	Brucella
group_2150	WP_005972644	chorismate mutase [Brucella melitensis]	Brucella melitensis
group_2162	WP_002964839	MULTISPECIES: glycine zipper 2TM domain-containing protein [Brucella]	Brucella
group_2165	WP_002964827	MULTISPECIES: YdcH family protein [Brucella]	Brucella
group_2166	WP_002964825	MULTISPECIES: DUF1192 domain-containing protein [Brucella]	Brucella
group_2172	WP_002971137	phosphoglucosamine mutase [Brucella abortus]	Brucella abortus
group_2189	WP_005972833	N-acetyltransferase [Brucella melitensis]	Brucella melitensis
group_2190	WP_004685794	N-acetyltransferase [Brucella melitensis]	Brucella melitensis
group_2200	WP_004685777	cold-shock protein [Brucella melitensis]	Brucella melitensis
group_2211	WP_002969148	MULTISPECIES: antibiotic acetyltransferase [Brucella]	Brucella
group_2230	WP_002964396	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2349	WP_002967786	MULTISPECIES: urease accessory protein UreD [Brucella]	Brucella
