Gene	Length	GC	Sample	MeanCoverage	Status	CopyNumber	HeteroFrac	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene.y	FunctionalPathway	PMID	PDBID
group_1322	174	0.5	Brancorsini	31.4616588287241	Accessory	1.56235706105261	0.0229885057471264	NA	NA	NA	NA	NA	NA	NA	NA	NA
group_1501	426	0.561	Brancorsini	28.1350912165026	Core	1.39716277087494	0	WP_004684408	COG5319	0	S	Uncharacterized conserved protein, DUF1178 domain				
group_2352	282	0.4858	Brancorsini	31.2225421122337	Accessory	1.55048274468365	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
group_3616	324	0.5617	Brancorsini	26.8436700441571	Core	1.33303198240028	0	WP_004683653	COG5467	0	S	Uncharacterized conserved protein, DUF1476 domain			16468998	
group_3769	393	0.5878	Brancorsini	27.4884902466131	Core	1.36505316100058	0	WP_002966620	COG3232	0	E	5-carboxymethyl-2-hydroxymuconate isomerase	HpaF			1OTG
group_3912	561	0.5829	Brancorsini	27.0851758093714	Core	1.34502493673309	0	WP_004681380	COG3334	0	N	Flagellar motility protein MotE, a chaperone for MotC folding	MotE		15101977	
group_4134	393	0.5089	Brancorsini	45.3521597250957	Accessory	2.25214656881976	0.0203562340966921	WP_005970228	COG3293	0	X	Transposase				
group_50	363	0.6006	Brancorsini	32.1684680147874	Accessory	1.59745655560483	0.00550964187327824	NA	NA	NA	NA	NA	NA	NA	NA	NA
modA	756	0.5675	Brancorsini	28.997783281477	Core	1.44000326592207	0	WP_004681258	COG0725	0	P	ABC-type molybdate transport system, periplasmic Mo-binding protein ModA	ModA	Molybdopterin biosynthesis		1AMF
tuf_1	1176	0.5842	Brancorsini	27.0859766868342	Accessory	1.3450647075718	0	WP_002970090	COG0050	0	J	Translation elongation factor EF-Tu, a GTPase	TufA	Translation factors		1EFU
bamD	864	0.5648	Geridu	4.02081437016321	Core	1.69738312611114	0	WP_002964530	COG4105	0	M	Outer membrane protein assembly factor BamD, BamD/ComL family	BamD			2YHC
dsbB	627	0.5279	Geridu	4.19828511759637	Core	1.77230224058375	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
dut	474	0.6139	Geridu	5.16998438303016	Core	2.18250420092319	0	WP_002964766	COG0756	0	FV	dUTP pyrophosphatase (dUTPase)	Dut	Thymidylate biosynthesis		1DUC
folP	840	0.5798	Geridu	4.07333635664624	Core	1.71955523489281	0	WP_002964147	COG0294	0	H	Dihydropteroate synthase	FolP	Folate biosynthesis		1AD1
gadB	861	0.5621	Geridu	4.13349660758917	Core	1.7449518300629	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
galE_1	1008	0.5377	Geridu	4.30038518583607	Core	1.81540369144676	0	WP_004683806	COG1087	0	M	UDP-glucose 4-epimerase	GalE			1A9Y
group_1009	855	0.4456	Geridu	4.14715210333875	Core	1.75071648516263	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
