Query	Match	Name	Organism
aldH1	WP_006234428	coniferyl aldehyde dehydrogenase [Brucella abortus]	Brucella abortus
apaG	WP_002963468	MULTISPECIES: Co2+/Mg2+ efflux protein ApaG [Brucella]	Brucella
argF	WP_002963466	MULTISPECIES: ornithine carbamoyltransferase [Brucella]	Brucella
argH	WP_002965047	MULTISPECIES: argininosuccinate lyase [Brucella]	Brucella
aspS	WP_004683546	MULTISPECIES: aspartate--tRNA ligase [Brucella]	Brucella
bluB	WP_002965598	MULTISPECIES: 5,6-dimethylbenzimidazole synthase [Brucella]	Brucella
carA	WP_002964590	MULTISPECIES: glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit [Brucella]	Brucella
carB	WP_004684046	MULTISPECIES: carbamoyl-phosphate synthase large subunit [Brucella]	Brucella
ccmE	WP_008933880	cytochrome c maturation protein CcmE [Brucella sp. NVSL 07-0026]	Brucella sp. NVSL 07-0026
ccmI	WP_004686785	MULTISPECIES: c-type cytochrome biogenesis protein CcmI [Brucella]	Brucella
cobA_2	WP_032450920	siroheme synthase CysG [Brucella sp. 63/311]	Brucella sp. 63/311
cobT_1	WP_069125125	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [Brucella melitensis]	Brucella melitensis
coxB	WP_005969785	MULTISPECIES: cytochrome c oxidase subunit II [Brucella]	Brucella
cysW_1	WP_076770952	MULTISPECIES: sulfate ABC transporter permease subunit CysW [unclassified Brucella]	unclassified Brucella
dapD	WP_002965622	MULTISPECIES: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [Brucella]	Brucella
der	WP_004682999	MULTISPECIES: ribosome biogenesis GTPase Der [Brucella]	Brucella
dnaA_1	WP_006104384	chromosomal replication initiator protein DnaA [Brucella abortus]	Brucella abortus
elaA	WP_002968104	GNAT family N-acetyltransferase [Brucella abortus]	Brucella abortus
fbcH	WP_004684075	MULTISPECIES: cytochrome b N-terminal domain-containing protein [Brucella]	Brucella
flaF	WP_002966647	MULTISPECIES: flagellar biosynthesis regulator FlaF [Brucella]	Brucella
flgA	WP_002966427	MULTISPECIES: flagellar basal body P-ring formation protein FlgA [Brucella]	Brucella
flgB	WP_004681368	MULTISPECIES: flagellar basal body rod protein FlgB [Brucella]	Brucella
fmt	WP_004682455	MULTISPECIES: methionyl-tRNA formyltransferase [Brucella]	Brucella
folB	WP_004685641	dihydroneopterin aldolase [Brucella melitensis]	Brucella melitensis
glcA_1	WP_023598755	L-lactate permease [Brucella ceti]	Brucella ceti
glmS	WP_004684961	MULTISPECIES: glutamine--fructose-6-phosphate transaminase (isomerizing) [Brucella]	Brucella
glmU	WP_004684960	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Brucella melitensis]	Brucella melitensis
glyA2	WP_005973536	serine hydroxymethyltransferase [Brucella melitensis]	Brucella melitensis
gmk	WP_002963622	MULTISPECIES: guanylate kinase [Brucella]	Brucella
group_1	WP_002965542	MULTISPECIES: IS5 family transposase [Brucella]	Brucella
group_100	WP_004683305	MULTISPECIES: DUF2163 domain-containing protein [Brucella]	Brucella
group_1030	WP_004684831	FAD-binding oxidoreductase [Brucella melitensis]	Brucella melitensis
group_1079	WP_004685291	YdcF family protein [Brucella melitensis]	Brucella melitensis
group_1089	WP_127841117	SH3 domain-containing protein [Brucella melitensis]	Brucella melitensis
group_1104	WP_002965608	MULTISPECIES: glutathione S-transferase family protein [Brucella]	Brucella
group_1132	WP_002963726	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1185	WP_002964461	MULTISPECIES: ABC transporter substrate-binding protein [Brucella]	Brucella
group_1277	WP_004681215	MULTISPECIES: OmpA family protein [Brucella]	Brucella
group_1295	WP_002966643	MULTISPECIES: response regulator transcription factor [Brucella]	Brucella
group_1300	WP_004688319	MULTISPECIES: murein L,D-transpeptidase [Brucella]	Brucella
group_1313	WP_004685594	protein-L-isoaspartate(D-aspartate) O-methyltransferase [Brucella melitensis]	Brucella melitensis
group_1342	WP_002967274	MULTISPECIES: ABC transporter substrate-binding protein [Brucella]	Brucella
group_1354	WP_004683323	MULTISPECIES: response regulator transcription factor [Brucella]	Brucella
group_1361	WP_225868622	TIGR02301 family protein [Brucella melitensis]	Brucella melitensis
group_1362	WP_002963818	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_14	WP_005973133	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_1495	WP_025270785	shikimate dehydrogenase [Brucella melitensis]	Brucella melitensis
group_1534	WP_004684539	MULTISPECIES: murein transglycosylase A [Brucella]	Brucella
group_1575	WP_004684772	MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate reductase [Brucella]	Brucella
group_1608	WP_002971536	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1617	WP_006097122	hypothetical protein [Brucella abortus]	Brucella abortus
group_1621	WP_002964883	MULTISPECIES: LPS assembly lipoprotein LptE [Brucella]	Brucella
group_163	WP_015799953	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme [Brucella microti]	Brucella microti
group_1633	WP_004685830	biotin transporter BioY [Brucella melitensis]	Brucella melitensis
group_1689	WP_004683956	MULTISPECIES: TerB family tellurite resistance protein [Brucella]	Brucella
group_169	WP_004684984	MULTISPECIES: Gfo/Idh/MocA family oxidoreductase [Brucella]	Brucella
group_178	WP_002963705	MULTISPECIES: asparaginase [Brucella]	Brucella
group_1803	WP_004684678	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_187	WP_006258297	D-alanyl-D-alanine carboxypeptidase [Brucella melitensis]	Brucella melitensis
group_1907	WP_002970018	MULTISPECIES: thioredoxin reductase [Brucella]	Brucella
group_207	WP_004681061	MULTISPECIES: amidohydrolase [Brucella]	Brucella
group_209	WP_127840839	fumarylacetoacetate hydrolase family protein [Brucella melitensis]	Brucella melitensis
group_2136	WP_153528633	SPFH/Band 7/PHB domain protein [Brucella sp. 2280]	Brucella sp. 2280
group_2152	WP_004685854	MULTISPECIES: RsmB/NOP family class I SAM-dependent RNA methyltransferase [Brucella]	Brucella
group_2172	WP_002971137	phosphoglucosamine mutase [Brucella abortus]	Brucella abortus
group_2188	WP_006088496	OmpW family protein [Brucella abortus]	Brucella abortus
group_2200	WP_004685777	cold-shock protein [Brucella melitensis]	Brucella melitensis
group_2211	WP_002969148	MULTISPECIES: antibiotic acetyltransferase [Brucella]	Brucella
group_2323	WP_004684798	MULTISPECIES: 2-hydroxyacid dehydrogenase [Brucella]	Brucella
group_2380	WP_002971643	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2381	WP_002965526	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2398	WP_002965436	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2399	WP_002965418	MULTISPECIES: trimeric intracellular cation channel family protein [Brucella]	Brucella
group_2400	WP_002966536	MULTISPECIES: response regulator [Brucella/Ochrobactrum group]	Brucella/Ochrobactrum group
group_2413	WP_005968957	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_2447	WP_011005196	MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Brucella]	Brucella
