Genome	Gene	MeanCoverage	sdCoverage	PercentCoverage	CV	Length	GC	GCCorrected
Brancorsini	addA	12.8354501834603	13.4911672744066	0.526672311600339	1.05108641158463	3543	0.6142	11.7118712878513
Brancorsini	fadJ	11.5316856780735	14.6186119265227	0.465779467680608	1.26769080727883	1578	0.5957	10.951384167622
Brancorsini	flgE	10.3895885810243	10.4973478402562	0.649034424853065	1.01037185047237	1191	0.576	10.3878040699027
Brancorsini	group_1013	12.7665229885057	13.1869573706513	0.540229885057471	1.03293256766341	1392	0.5869	12.4446453153183
Brancorsini	group_1085	9.94269340974212	10.2130536202022	0.546322827125119	1.02719184825665	1047	0.5664	10.2228258119995
Brancorsini	group_1363	12.2808302808303	12.7381667143012	0.573870573870574	1.03723986269762	819	0.5788	12.1968200033064
Brancorsini	group_1406	10.8977072310406	11.9433102709601	0.526455026455027	1.09594706645644	1134	0.5988	10.2263700506437
Brancorsini	group_15	12.5435087719298	13.1594309525463	0.578245614035088	1.0491028620313	2850	0.6028	11.7547062109584
Brancorsini	group_1538	11.1922773837667	12.3589545410955	0.504334121355398	1.10423947846583	1269	0.5902	10.7734907716053
Brancorsini	group_1609	10.3666666666667	10.6619674203046	0.802564102564103	1.02848560324482	390	0.5	12.5967243864625
Brancorsini	group_1618	10.8659420289855	12.0002075538891	0.550724637681159	1.10438722403248	828	0.599	10.1887315795599
Brancorsini	group_1792	7.89485458612975	10.1444785138208	0.642058165548098	1.28494811438875	447	0.4564	11.4052849541887
Brancorsini	group_1884	11.5814814814815	11.8767547215194	0.612962962962963	1.02549529095307	1080	0.6065	10.6840234434785
Brancorsini	group_1948	11.0833333333333	11.9916214178407	0.532051282051282	1.08195080461721	1248	0.5881	10.7262160459735
Brancorsini	group_1953	11.0989010989011	11.1708389637609	0.663919413919414	1.00648153039826	1092	0.6099	10.1015974874097
Brancorsini	group_1990	11.7879714576962	12.3338714837952	0.573904179408767	1.04630992092728	981	0.6126	10.711378714317
Brancorsini	group_2116	11.1810344827586	12.1008466113937	0.53735632183908	1.08226538698664	696	0.6034	10.374612114701
Brancorsini	group_2303	10.3873370577281	13.4351284017544	0.495344506517691	1.29341411827575	537	0.5158	12.1534065242542
Brancorsini	group_2349	11.7733773377338	12.5667081564504	0.5995599559956	1.06738345301938	909	0.5787	11.6923036947243
Brancorsini	group_2550	16.5103092783505	16.9429252567348	0.793814432989691	1.02620277858462	582	0.5275	17.9327925066959
Brancorsini	group_288	11.8589993502274	11.8775285545318	0.571150097465887	1.00156245934055	1539	0.6017	11.102499768914
Brancorsini	group_3062	11.5839793281654	11.665459918425	0.591731266149871	1.00703390328585	387	0.5504	12.3339732527212
Brancorsini	group_3159	9.39240506329114	11.6125809025488	0.609704641350211	1.23637990741422	474	0.519	11.0645022253576
Brancorsini	group_32	10.7072662919009	12.7047038320417	0.46824901103477	1.18654972106668	4803	0.594	10.1768875681936
Brancorsini	group_3350	8.42222222222222	10.9740037438455	0.449206349206349	1.30298197486292	630	0.5143	10.2323412064638
Brancorsini	group_3738	10.2097902097902	10.3354606902913	0.625874125874126	1.01230882103538	858	0.5734	10.2843581960421
Brancorsini	group_414	12.4278874925194	12.9985964337391	0.532016756433274	1.04592163725035	1671	0.5763	12.4172930778547
Brancorsini	group_429	10.3008474576271	11.4362834341673	0.525423728813559	1.11022743334573	1416	0.5847	10.0435757437557
Brancorsini	group_52	12.3963553530752	13.9180527847805	0.490508731966591	1.12275361494278	2634	0.6116	11.3491289548396
