Gene	Length	GC	Sample	MeanCoverage	Status	CopyNumber	HeteroFrac	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene.y	FunctionalPathway	PMID	PDBID
addB	720	0.5903	Brancorsini	17.6802474871498	Core	0.877984840312577	0	WP_004684550	COG1208	2	JM	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	GCD1			6JQ8
addB	720	0.5903	Geridu	1.86337224982987	Core	0.786620898988825	0	WP_004684550	COG1208	2	JM	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	GCD1			6JQ8
ccoG	1551	0.5835	Brancorsini	22.0695591368968	Core	1.09595402262669	0	WP_004682974	COG0348	0	C	Polyferredoxin NapH	NapH		27322068	
ccoG	1551	0.5835	Geridu	2.33045525831153	Core	0.98379956582139	0	WP_004682974	COG0348	0	C	Polyferredoxin NapH	NapH		27322068	
ccoN	1626	0.5769	Brancorsini	11.1284513642448	Core	0.552628666598936	0	WP_002963527	COG3278	1	C	Cbb3-type cytochrome oxidase, subunit 1	CcoN			3MK7
ccoN	1626	0.5769	Geridu	1.81251388628764	Core	0.765151087117184	0	WP_002963527	COG3278	1	C	Cbb3-type cytochrome oxidase, subunit 1	CcoN			3MK7
ccoO	732	0.5888	Brancorsini	19.9853578420032	Core	0.992454501909781	0	WP_002963526	COG2993	0	C	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO	CcoO			3MK7
ccoO	732	0.5888	Geridu	1.43546592896802	Core	0.605980635171392	0	WP_002963526	COG2993	0	C	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO	CcoO			3MK7
ccoP	864	0.6088	Brancorsini	21.2989365350323	Core	1.05768561249663	0	WP_002963524	COG2010	1	C	Cytochrome c, mono- and diheme variants	CccA			1A2S
ccoP	864	0.6088	Geridu	2.61912048642173	Core	1.10565932908855	0	WP_002963524	COG2010	1	C	Cytochrome c, mono- and diheme variants	CccA			1A2S
ccoS	159	0.5346	Brancorsini	16.6431903891894	Core	0.826485537986094	0	WP_002963520	COG3197	0	O	Cytochrome oxidase maturation protein, CcoS/FixS family	FixS			
clpS	351	0.5242	Brancorsini	18.4076386908418	Core	0.914106418943332	0	WP_004686968	COG2127	0	O	ATP-dependent Clp protease adapter protein ClpS	ClpS			1LZW
clpS	351	0.5242	Geridu	2.58850433776528	Core	1.09273474980392	0	WP_004686968	COG2127	0	O	ATP-dependent Clp protease adapter protein ClpS	ClpS			1LZW
group_1001	1380	0.592	Brancorsini	22.2775485950272	Core	1.10628258795453	0	WP_004683758	COG3200	0	E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II	AroG2	Aromatic amino acid biosynthesis		6BMC
group_1001	1380	0.592	Geridu	1.90066663450759	Core	0.802364689530465	0	WP_004683758	COG3200	0	E	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II	AroG2	Aromatic amino acid biosynthesis		6BMC
group_1022	306	0.5784	Brancorsini	18.0743315478648	Core	0.897554692565383	0	WP_002963433	COG0832	0	E	Urease beta subunit	UreB			
group_1074	1212	0.5858	Brancorsini	20.8119913815177	Core	1.03350436372394	0	WP_004684510	COG3034	1	M	Murein L,D-transpeptidase YafK	YafK			4XZZ
group_1074	1212	0.5858	Geridu	2.34800393378438	Core	0.991207723197231	0	WP_004684510	COG3034	1	M	Murein L,D-transpeptidase YafK	YafK			4XZZ
group_1172	708	0.5918	Brancorsini	22.8676620620608	Core	1.13558708035467	0	WP_002971389	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1172	708	0.5918	Geridu	1.74630543000449	Core	0.737201247568553	0	WP_002971389	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1173	717	0.6053	Brancorsini	19.9221848231451	Core	0.989317387855549	0	WP_004684060	COG0741	3	M	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)	MltE			153L
group_1173	717	0.6053	Geridu	2.37459215643864	Core	1.00243191718677	0	WP_004684060	COG0741	3	M	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)	MltE			153L
group_1276	720	0.5569	Brancorsini	19.7889135864883	Core	0.982699260732646	0	WP_002966517	COG3736	0	U	Type IV secretory pathway, component VirB8	VirB8			2BHM
group_1276	720	0.5569	Geridu	2.31341227033329	Core	0.976604883961059	0	WP_002966517	COG3736	0	U	Type IV secretory pathway, component VirB8	VirB8			2BHM
group_1352	690	0.5797	Brancorsini	21.0223209713652	Core	1.04394913784203	0	WP_002963753	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1352	690	0.5797	Geridu	3.70268714366374	Core	1.56308600704399	0	WP_002963753	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1401	510	0.5627	Brancorsini	15.8092772128527	Core	0.785074176098047	0	WP_004683193	COG3194	0	F	Ureidoglycolate hydrolase (allantoin degradation)	AllA			1XSQ
group_1401	510	0.5627	Geridu	2.25175949466997	Core	0.950578220838931	0	WP_004683193	COG3194	0	F	Ureidoglycolate hydrolase (allantoin degradation)	AllA			1XSQ
group_1428	819	0.5995	Brancorsini	17.5037163068256	Core	0.869218464147325	0	WP_004682943	COG3257	0	F	Ureidoglycine aminohydrolase	AllE		19935661	1RC6
group_1428	819	0.5995	Geridu	2.1367720053924	Core	0.902036356916546	0	WP_004682943	COG3257	0	F	Ureidoglycine aminohydrolase	AllE		19935661	1RC6
group_1432	708	0.6285	Brancorsini	20.7410584983364	Core	1.0299819019395	0	WP_004682901	COG1346	0	M	Putative effector of murein hydrolase	LrgB			
group_1432	708	0.6285	Geridu	1.45523912151612	Core	0.614327870405517	0	WP_004682901	COG1346	0	M	Putative effector of murein hydrolase	LrgB			
group_1447	843	0.618	Brancorsini	19.4069391944021	Core	0.963730763493958	0	WP_004682792	COG0829	0	O	Urease accessory protein UreH	UreH			3SF5
group_1447	843	0.618	Geridu	1.64850277681465	Core	0.695913946556796	0	WP_004682792	COG0829	0	O	Urease accessory protein UreH	UreH			3SF5
group_1513	1635	0.556	Brancorsini	13.3073953171892	Core	0.660833020636759	0	WP_004684471	COG2194	0	M	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	OpgE			5ZZU
group_1513	1635	0.556	Geridu	1.32235387745857	Core	0.55823048559556	0	WP_004684471	COG2194	0	M	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	OpgE			5ZZU
group_1525	807	0.5812	Brancorsini	22.7834918497398	Core	1.13140726497158	0	WP_002965066	COG0708	0	L	Exonuclease III	XthA			1AKO
group_1525	807	0.5812	Geridu	1.29831453002429	Core	0.548082296959829	0	WP_002965066	COG0708	0	L	Exonuclease III	XthA			1AKO
group_1539	720	0.5847	Brancorsini	15.7349606322152	Core	0.781383683007894	0	WP_002965156	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1539	720	0.5847	Geridu	1.79892453537003	Core	0.759414354998057	0	WP_002965156	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_1588	1350	0.5748	Brancorsini	18.448385391977	Core	0.916129862671451	0	WP_004681527	COG3256	2	P	Nitric oxide reductase large subunit	NorB			3WFC
group_1588	1350	0.5748	Geridu	2.53337973328594	Core	1.06946394820434	0	WP_004681527	COG3256	2	P	Nitric oxide reductase large subunit	NorB			3WFC
group_1618	828	0.599	Brancorsini	10.4327682748066	Core	0.518081683779123	0	WP_004684303	COG2951	2	M	Membrane-bound lytic murein transglycosylase B	MltB			1D0K
group_1618	828	0.599	Geridu	1.14901009400751	Core	0.485053565211108	0	WP_004684303	COG2951	2	M	Membrane-bound lytic murein transglycosylase B	MltB			1D0K
group_1653	783	0.5045	Brancorsini	23.0340209052982	Core	1.14384830760958	0	WP_002967853	COG3306	0	M	Glycosyltransferase involved in LPS biosynthesis, GR25 family				
group_1653	783	0.5045	Geridu	2.73008847765961	Core	1.15250436557253	0	WP_002967853	COG3306	0	M	Glycosyltransferase involved in LPS biosynthesis, GR25 family				
group_1773	591	0.5533	Brancorsini	20.4746070300388	Core	1.01675016691914	0	WP_004684011	COG1999	0	O	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	Sco1			1ON4
group_1773	591	0.5533	Geridu	1.83058888061306	Core	0.772781429517515	0	WP_004684011	COG1999	0	O	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	Sco1			1ON4
group_1878	2400	0.5562	Brancorsini	21.7800582851771	Core	1.08157767641026	0	WP_004683433	COG1452	0	M	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)	LptD			4N4R
group_1878	2400	0.5562	Geridu	2.68889797269248	Core	1.13511583139746	0	WP_004683433	COG1452	0	M	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)	LptD			4N4R
group_1950	720	0.5653	Brancorsini	18.5943438688902	Core	0.923378026484658	0	WP_002963486	COG3306	0	M	Glycosyltransferase involved in LPS biosynthesis, GR25 family				
group_1950	720	0.5653	Geridu	2.57536161980083	Core	1.08718656337938	0	WP_002963486	COG3306	0	M	Glycosyltransferase involved in LPS biosynthesis, GR25 family				
group_1956	303	0.604	Brancorsini	20.3761016028494	Core	1.01185847794117	0	WP_010658102	COG0831	0	E	Urease gamma subunit	UreA			1A5K
group_1956	303	0.604	Geridu	2.63253463834211	Core	1.11132210111048	0	WP_010658102	COG0831	0	E	Urease gamma subunit	UreA			1A5K
group_199	2100	0.5981	Brancorsini	22.6110240192214	Core	1.12284267102306	0	WP_004685524	COG0741	1	M	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)	MltE			153L
group_199	2100	0.5981	Geridu	2.1179601378275	Core	0.894094944148963	0	WP_004685524	COG0741	1	M	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)	MltE			153L
group_1997	810	0.5383	Brancorsini	21.7411420352439	Core	1.07964513120647	0	WP_004681802	COG1208	2	JM	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	GCD1			6JQ8
