Query	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene	FunctionalPathway	PMID	PDBID
betA_1	WP_012092477	COG2303	0	IR	Choline dehydrogenase or related flavoprotein	BetA	Non-phosphorylated Entner-Doudoroff pathway		1B4V
bla	WP_000027057	COG2367	2	V	Beta-lactamase class A	PenP			6W34
cobU	WP_002964426	COG2087	0	H	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	CobU	Cobalamine/B12 biosynthesis		1C9K
cydX	WP_002972046	COG4890	1	S	Predicted outer membrane lipoprotein				
fcl_2	WP_004681748	COG0451	2	M	Nucleoside-diphosphate-sugar epimerase	WcaG			2X4G
fliE_1	WP_002966429	COG1677	0	N	Flagellar hook-basal body complex protein FliE	FliE			
gloA	WP_002970104	COG0346	1	Q	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	GloA		11830595	3R4Q
gmd_2	WP_004681750	COG1089	0	M	GDP-D-mannose dehydratase	Gmd			1DB3
group_1039	WP_004683498	COG2019	0	F	Archaeal adenylate kinase	AdkA			1KI9
group_1115	WP_004681755	COG0438	3	M	Glycosyltransferase involved in cell wall bisynthesis	RfaB			2IV7
group_1240	WP_005970682	COG1674	3	D	DNA segregation ATPase FtsK/SpoIIIE or related protein	FtsK			2IUT
group_1245	WP_002964935	COG3316	0	X	Transposase (or an inactivated derivative), DDE domain	Rve			
group_1249	WP_041594640	COG0642	1	T	Signal transduction histidine kinase	BaeS			1JOY
group_1344	WP_004684331	COG1247	0	E	L-amino acid N-acyltransferase MnaT	MnaT		27941785	3DR6
group_1349	WP_011982322	COG4181	0	Q	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component	YbbA			
group_1473	WP_004681908	COG0494	0	V	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	MutT			4V14
group_1600	WP_002964139	COG1463	0	M	Periplasmic subunit MlaD of the ABC-type intermembrane phospholipid transporter Mla	MlaD			5UW8
group_1601	WP_004683762	COG0280	1	C	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)	Pta		28754323	1QZT
group_1601	WP_004683762	COG0281	1	C	Malic enzyme	SfcA	Urea cycle		1DO8
group_1602	WP_004683759	COG0171	1	H	NH3-dependent NAD+ synthetase	NadE	NAD biosynthesis		3HMQ
group_1602	WP_004683759	COG0388	1	C	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate	Nit2		28373563	
group_1605	WP_004683752	COG0546	0	C	Phosphoglycolate phosphatase, HAD superfamily	Gph			2NYV
group_1607	WP_002964110	COG0125	0	F	Thymidylate kinase	Tmk	Thymidylate biosynthesis		3LV8
group_1608	WP_004686811	COG0797	1	M	Peptidoglycan lytic transglycosylase RlpA, contains C-terminal SPOR domain	RlpA		24806796	4AVR
group_1765	WP_080502841	COG0343	2	J	Queuine/archaeosine tRNA-ribosyltransferase	Tgt	tRNA modification	15805528	1XW8
group_1766	WP_005968673	COG0513	3	L	Superfamily II DNA and RNA helicase	SrmB			3RRM
group_1771	WP_002963618	COG0304	0	IQ	3-oxoacyl-(acyl-carrier-protein) synthase	FabB	Fatty acid biosynthesis	21652641	2UV8
group_1774	WP_002964587	COG0358	0	L	DNA primase (bacterial type)	DnaG		28128549	3B39
group_1775	WP_004683096	COG1066	0	L	DNA repair protein RadA/Sms, contains AAA+ ATPase domain	Sms		30877841	5LKM
group_1778	WP_004686432	COG1961	0	L	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	SpoIVCA			1GDT
group_1788	WP_004683498	COG2019	0	F	Archaeal adenylate kinase	AdkA			1KI9
group_1790	WP_004683959	COG1429	2	H	Cobalamin biosynthesis protein CobN, Mg-chelatase	CobN	Cobalamine/B12 biosynthesis		4ZHJ
group_1821	WP_012092477	COG2303	0	IR	Choline dehydrogenase or related flavoprotein	BetA	Non-phosphorylated Entner-Doudoroff pathway		1B4V
group_1858	WP_002966505	COG1585	0	O	Membrane protein implicated in regulation of membrane protease activity	YbbJ			2EXD
group_1873	WP_002964837	COG3750	0	S	Uncharacterized conserved protein, UPF0335 family				6CFY
group_1966	WP_002969866	COG0744	1	M	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase	MrcB			3FWL
group_200	WP_004686741	COG0033	0	G	Phosphoglucomutase/phosphomannomutase	Pgm		30938049	1C47
group_2001	WP_004683729	COG0746	0	H	Molybdopterin-guanine dinucleotide biosynthesis protein A	MobA	Molybdopterin biosynthesis	32239579	1E5K
group_2002	WP_002964079	COG3536	0	S	Uncharacterized conserved protein, DUF971 family				2L6N
group_2003	WP_004683734	COG2261	3	R	Uncharacterized membrane protein YeaQ/YmgE, transglycosylase-associated protein family	YeaQ			
group_2006	WP_004682124	COG0288	0	P	Carbonic anhydrase	CynT		22081392	1EKJ
group_2011	WP_004682078	COG0614	0	P	ABC-type Fe3+-hydroxamate transport system, periplasmic component	FepB			1ESZ
group_2012	WP_004682075	COG1120	0	PH	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	FepC			2NQ2
group_2013	WP_004684894	COG5476	0	R	Microcystin degradation protein MlrC, contains DUF1485 domain				3IUU
group_2014	WP_004682068	COG1653	0	G	ABC-type glycerol-3-phosphate transport system, periplasmic component	UgpB			2Z8D
group_2015	WP_002965914	COG5457	0	S	Uncharacterized conserved protein YjiS, DUF1127 family	YjiS			
group_2018	WP_002972093	COG2032	0	P	Cu/Zn superoxide dismutase	SodC			1ESO
group_2019	WP_005971225	COG1175	0	G	ABC-type sugar transport system, permease component	UgpA			3FH6
group_2029	WP_012093088	COG1522	0	K	DNA-binding transcriptional regulator, Lrp family	Lrp			1I1G
group_2031	WP_010658898	COG0834	0	ET	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	HisJ			1GGG
group_2061	WP_002963597	COG3895	0	M	Membrane-bound inhibitor of C-type lysozyme	MliC			2F09
group_2062	WP_002963610	COG0238	0	J	Ribosomal protein S18	RpsR	Ribosome 30S subunit		4V4H
group_2063	WP_002963616	COG0236	0	I	Acyl carrier protein	AcpP	Fatty acid biosynthesis		1ACP
group_2066	WP_004683161	COG0637	0	G	Beta-phosphoglucomutase, HAD superfamily	YcjU		29684280	3E58
group_2068	WP_004683169	COG5389	0	S	Uncharacterized conserved protein, DUF721 domain				
group_2069	WP_004686567	COG1230	0	P	Co/Zn/Cd efflux system component	CzcD			
group_2110	WP_002971358	COG1434	0	M	Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family	ElyC		24391520	3CA8
group_2111	WP_011005726	COG0438	0	M	Glycosyltransferase involved in cell wall bisynthesis	RfaB			2IV7
group_2163	WP_010659558	COG2388	0	R	Predicted acetyltransferase, GNAT superfamily	YidJ			1R57
group_2250	WP_011005608	COG0382	1	H	4-hydroxybenzoate polyprenyltransferase	UbiA	Ubiquinone biosynthesis	28830929	4OD4
group_2250	WP_011005608	COG0560	1	E	Phosphoserine phosphatase	SerB	Serine biosynthesis		3N28
group_2285	WP_002966658	COG0735	0	P	Fe2+ or Zn2+ uptake regulation protein Fur/Zur	Fur			1MZB
group_2296	WP_041594662	COG0348	1	C	Polyferredoxin NapH	NapH		27322068	
group_2299	WP_012091817	COG1879	0	G	ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain	RbsB			1BA2
group_2304	WP_006256613	COG3108	1	S	Uncharacterized conserved protein YcbK, DUF882 family	YcbK			
group_2309	WP_004683910	COG4799	0	I	Acetyl-CoA carboxylase, carboxyltransferase component	MmdA			1OD2
group_2310	WP_004681841	COG1252	0	C	NADH dehydrogenase, FAD-containing subunit	Ndh			5NA4
group_2311	WP_040130030	COG1702	0	T	Phosphate starvation-inducible protein PhoH, predicted ATPase	PhoH		8444794;12762842	3B85
group_2318	WP_002969234	COG0007	1	H	Uroporphyrinogen-III methylase (siroheme synthase)	CysG	Cobalamine/B12 biosynthesis		1PJQ
group_2318	WP_002969234	COG1648	1	H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	CysG2	Heme biosynthesis		1PJQ
group_2319	WP_011005564	COG1611	0	F	Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family	PpnN		25728768;27941785;31023582;31420341	2PMB
group_2321	WP_002966547	COG0022	1	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	AcoB	Pyruvate oxidation		2OZL
group_2321	WP_002966547	COG1071	1	C	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	AcoA	Pyruvate oxidation		1DTW
group_2322	WP_004684123	COG2225	1	C	Malate synthase	AceB	TCA cycle, glyoxylate bypass		1D8C
group_2323	WP_004684123	COG2225	1	C	Malate synthase	AceB	TCA cycle, glyoxylate bypass		1D8C
group_2325	WP_004682835	COG0493	0	ER	NADPH-dependent glutamate synthase beta chain or related oxidoreductase	GltD	Glutamine biosynthesis		1H7X
group_2328	WP_012091501	COG1228	0	Q	Imidazolonepropionase or related amidohydrolase	HutI			3OOQ
group_2329	WP_012091501	COG1228	0	Q	Imidazolonepropionase or related amidohydrolase	HutI			3OOQ
group_2331	WP_002963527	COG3278	1	C	Cbb3-type cytochrome oxidase, subunit 1	CcoN			3MK7
group_2342	WP_012091754	COG0206	1	D	Cell division GTPase FtsZ	FtsZ			1FSZ
group_2345	WP_025198990	COG1643	2	J	HrpA-like RNA helicase	HrpA			5N8R
group_2348	WP_005968673	COG0513	3	L	Superfamily II DNA and RNA helicase	SrmB			3RRM
group_2349	WP_002965322	COG0137	0	E	Argininosuccinate synthase	ArgG	Arginine biosynthesis		1J1Z
group_2353	WP_002967156	COG2977	0	Q	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	EntD			4QJK
group_2354	WP_002966643	COG0745	0	TK	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF
group_2355	WP_002965274	COG0539	0	J	Ribosomal protein S1	RpsA	Ribosome 30S subunit		4NNH
group_2357	WP_002964973	COG2388	3	R	Predicted acetyltransferase, GNAT superfamily	YidJ			1R57
group_2366	WP_004682363	COG3288	1	C	NAD/NADP transhydrogenase alpha subunit	PntA			1F8G
group_2370	WP_002966539	COG1285	0	P	Magnesium uptake protein YhiD/SapB, involved in acid resistance	SapB		19798051	
group_2371	WP_004686785	COG4235	1	CO	Cytochrome c-type biogenesis protein CcmH/NrfG	NrfG			
group_2371	WP_004686785	COG4235	3	CO	Cytochrome c-type biogenesis protein CcmH/NrfG	NrfG			
group_2373	WP_004684678	COG1092	3	J	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	RlmK	23S rRNA modification		2B78
group_2374	WP_006256613	COG3108	1	S	Uncharacterized conserved protein YcbK, DUF882 family	YcbK			
group_2376	WP_011005472	COG1074	0	L	3'-5' helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V)	RecB		29901759;30601118	3U44
group_2378	WP_004684555	COG1434	0	M	Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family	ElyC		24391520	3CA8
group_2382	WP_004683858	COG0372	0	C	Citrate synthase	GltA	TCA cycle	25211225	3TQG
group_2392	WP_002967156	COG2977	0	Q	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	EntD			4QJK
group_2405	WP_005969645	COG2801	3	X	Transposase InsO and inactivated derivatives	Tra5			
group_2406	WP_012092477	COG2303	0	IR	Choline dehydrogenase or related flavoprotein	BetA	Non-phosphorylated Entner-Doudoroff pathway		1B4V
group_2432	WP_004684625	COG0346	0	Q	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	GloA		11830595	3R4Q
group_2450	WP_004686250	COG0456	3	J	Ribosomal protein S18 acetylase RimI and related acetyltransferases	RimI			1GHE
group_2452	WP_002969866	COG0744	1	M	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase	MrcB			3FWL
