Genome	Gene	MeanCoverage	sdCoverage	PercentCoverage	CV	Length	GC	GCCorrected
Geridu	cobT_1	0.87156862745098	1.4532882042825	0.347058823529412	1.66743978444111	1020	0.6235	1.01623010507052
Geridu	group_1342	1.33175355450237	2.34540396700987	0.335703001579779	1.76113963359104	1266	0.5703	1.31277285586456
Geridu	group_1495	1.03174603174603	1.60041811589666	0.368742368742369	1.55117448156138	819	0.5971	1.09520161738824
Geridu	group_1534	1.15045045045045	1.73591842595852	0.355855855855856	1.5089032520078	1110	0.6009	1.22559476296818
Geridu	group_163	1.0870523415978	1.9195859488467	0.314600550964187	1.76586340453966	1815	0.6055	1.17634616559643
Geridu	group_169	1.45284780578898	2.1903289588195	0.430438842203548	1.50761074222088	1071	0.5733	1.44309504942132
Geridu	group_2289	1.11368015414258	2.11826624255194	0.300578034682081	1.90204183371013	519	0.5703	1.09469945550477
Geridu	group_2349	1.35863586358636	2.06424477887834	0.386138613861386	1.51935101538495	909	0.5787	1.36549340330497
Geridu	group_2572	0.993150684931507	1.62008238628179	0.324200913242009	1.63125536825614	438	0.5845	1.01784891303908
Geridu	group_2817	1.0146750524109	1.67839538880504	0.30188679245283	1.65412107533059	477	0.5828	1.03414411323205
Geridu	group_2888	1.30591630591631	2.4302839290182	0.258297258297258	1.86097984840841	693	0.5512	1.2281843748252
Geridu	group_2949	1.06704980842912	1.74180464179606	0.318007662835249	1.63235551708715	522	0.5862	1.09697720382311
Geridu	group_3194	1.21489001692047	1.98712336495353	0.353637901861252	1.63564054134754	591	0.5736	1.20606005477983
Geridu	group_32	1.38559233812201	2.17085130186334	0.4280657922132	1.56673160072872	4803	0.594	1.43951238341839
Geridu	group_3266	1.14	2.04088499952637	0.306666666666667	1.79024999958454	450	0.54	1.02781708443366
Geridu	group_3364	1.04457364341085	1.66282880167873	0.358527131782946	1.59187321273882	516	0.5872	1.07757701956156
Geridu	group_356	1.0275624461671	1.60148584072316	0.371231696813092	1.55852896989069	1161	0.615	1.14607808735454
Geridu	group_3590	1.1047619047619	1.76014871152491	0.364021164021164	1.59323805784583	945	0.5778	1.10885106179947
Geridu	group_405	1.25137674117266	2.06355057485878	0.359248461289278	1.64902423623843	3087	0.6155	1.37143037273846
Geridu	group_414	1.19868342309994	1.96922993300944	0.487133453022142	1.64282736797742	1671	0.5763	1.19815860900243
Geridu	group_696	1.25564971751412	1.90951769061833	0.413841807909605	1.520740747984	1416	0.6257	1.40707835279844
Geridu	group_766	1.14218455743879	1.73437011896092	0.378531073446328	1.51846749079678	1062	0.6055	1.23147838143742
Geridu	recN	0.868452380952381	1.54656297757049	0.327380952380952	1.78082645806609	1680	0.6214	1.00665429898281
Geridu	sbmA	1.3525641025641	2.04536987533357	0.501602564102564	1.51221659029401	1248	0.5601	1.30220840020778
Geridu	topA	1.03983464862834	1.92332121184342	0.344607290492296	1.84964139671678	2661	0.596	1.09990665543815
