"Genome"	"clusters"
"00-2529-3_2000"	"1"
"00-2782_2000"	"1"
"00-2956-4_2000"	"1"
"00-3099-5733_2000"	"1"
"00-3099-5734_2000"	"1"
"00-4216_2000"	"1"
"01-3016-5171_2001"	"1"
"02-5863-1_Unknown"	"2"
"02-7258_Unknown"	"2"
"1-VerB_2013"	"3"
"11-1823-3434_Unknown"	"2"
"128_1986"	"4"
"133_1998"	"4"
"16M-VerB_Unknown"	"3"
"16M-VerC_Unknown"	"3"
"1_2011"	"3"
"2007BM-1_2007"	"5"
"2008724259_2007"	"1"
"2010724553_2010"	"2"
"2011TE116411_2011"	"1"
"2011TE116911_2011"	"1"
"2011TE117111_2011"	"1"
"2011TE1178211_2011"	"1"
"2011TE1178911_2011"	"1"
"2011TE1179111_2011"	"1"
"2011TE1179311_2011"	"1"
"2011TE1179811_2011"	"1"
"2011TE1180211_2011"	"1"
"2011TE1180311_2011"	"1"
"2011TE1180511_2011"	"1"
"2011TE1181011_2011"	"1"
"2011TE1181411_2011"	"1"
"2011TE1181511_2011"	"1"
"2011TE1182111_2011"	"1"
"2011TE1182611_2011"	"1"
"2011TE1182811_2011"	"1"
"2011TE1184211_2011"	"1"
"2011TE1184411_2011"	"1"
"2011TE1237211_2011"	"1"
"2011TE1237311_2011"	"1"
"2011TE1284111_2011"	"1"
"2011TE1284911_2011"	"1"
"2011TE1354111_2011"	"1"
"2011TE1951311_2011"	"4"
"2011TE199411_2011"	"1"
"2011TE199511_2011"	"1"
"2011TE2103111_2011"	"3"
"2011TE2168711_2011"	"1"
"2011TE229911_2011"	"1"
"2011TE246111_2011"	"1"
"2011TE392211_2011"	"1"
"2011TE446711_2011"	"1"
"2011TE447111_2011"	"1"
"2011TE447411_2011"	"1"
"2011TE447811_2011"	"1"
"2011TE447911_2011"	"1"
"2011TE448011_2011"	"1"
"2011TE448411_2011"	"1"
"2011TE448611_2011"	"1"
"2011TE448811_2011"	"1"
"2011TE449111_2011"	"1"
"2011TE449611_2011"	"1"
"2011TE450011_2011"	"1"
"2011TE605711_2011"	"1"
"2011TE607611_2011"	"1"
"2011TE629911_2011"	"1"
"2011TE629912_2011"	"1"
"2011TE683711_2011"	"1"
"2011TE683811_2011"	"1"
"2011TE683911_2011"	"1"
"2011TE684011_2011"	"1"
"2011TE684411_2011"	"1"
"2011TE74411_2011"	"1"
"2011TE755611_2011"	"1"
"2012TE1848511_2012"	"1"
"2012TE2422611_2012"	"1"
"2012TE2424011_2012"	"1"
"2013TE1352811_2013"	"1"
"2013TE1500311_2013"	"1"
"2013TE1500511_2013"	"1"
"2013TE1501611_2013"	"1"
"2013TE1501911_2013"	"1"
"2013TE1502111_2013"	"1"
"2013TE1502811_2013"	"1"
"2013TE1502911_2013"	"1"
"2013TE254711_2013"	"1"
"2014TE1651012_2014"	"1"
"2014TE1651017_2014"	"1"
"2015CB2220119_2015"	"1"
"2015CB3742120_2015"	"1"
"2015CB3742127_2015"	"1"
"2015IS2529114_2015"	"1"
"2015IS2533111_2015"	"1"
"2015IS2547111_2015"	"1"
"2015IS256619_2015"	"1"
"2015IS3088130_2015"	"1"
"2015IS3088136_2015"	"1"
"2015IS3088142_2015"	"1"
"2015IS341317_2015"	"1"
"2015IS368118_2015"	"1"
"2015IS508818_2015"	"1"
"2015IS594717_2015"	"1"
"2015IS604318_2015"	"1"
"2015TE1184311_2015"	"1"
"2015TE1184511_2015"	"1"
"2015TE1184711_2015"	"1"
"2015TE1184712_2015"	"1"
"2015TE1184913_2015"	"1"
"2015TE1614211_2015"	"1"
"2015TE1614212_2015"	"1"
"2015TE1616512_2015"	"1"
"2015TE1617311_2015"	"1"
"2015TE1618111_2015"	"1"
"2015TE1618911_2015"	"1"
"2015TE1619411_2015"	"1"
"2015TE1620011_2015"	"1"
"2015TE2182411_2015"	"1"
"2015TE2182511_2015"	"1"
"2015TE2627011_2015"	"1"
"2016CB126517_2016"	"1"
"2016TE1727011_2016"	"1"
"2016TE1727111_2016"	"1"
"2016TE600811_2016"	"1"
"2016TE634411_2016"	"1"
"2016TE70312_2015"	"1"
"2016TE70511_2015"	"1"
"2017TE307211_2017"	"1"
"20236_2012"	"2"
"43_Unknown"	"5"
"548_1948"	"5"
"64-150_1964"	"2"
"66-59_1966"	"2"
"ADMAS-G1_2013"	"3"
"ATCC23457_Unknown"	"2"
"B115_1962"	"3"
"B115_Unknown"	"3"
"B15_2018"	"2"
"B29_2018"	"2"
"B7_2016"	"2"
"B9_2018"	"2"
"BB10_2012"	"4"
"BB15_2010"	"4"
"BB17_2010"	"4"
"BB18_2013"	"4"
"BB19_2011"	"4"
"BB1_1973"	"4"
"BB20_2011"	"4"
"BB2_1957"	"4"
"BB3_1980"	"4"
"BB4_1957"	"4"
"BB5_2012"	"4"
"BB6_1963"	"4"
"BB7_1980"	"4"
"BB8_1991"	"4"
"BB9_1990"	"4"
"BCB028_1956"	"4"
"BCB033_2006"	"4"
"BG2-S27_2008"	"2"
"BL_2012"	"2"
"BMM-13-15_2015"	"4"
"BMM-19-15_2015"	"4"
"BMM15-15_2015"	"4"
"BMM26-15_2015"	"4"
"BRUC048_Unknown"	"1"
"BRUC101_Unknown"	"1"
"BY38_2013"	"2"
"BmIND1_2007"	"4"
"BmWS93_2015"	"2"
"Brm-1252-10-Geo_2010"	"4"
"Brm-1268-11-Geo_2011"	"4"
"Brm-1771-12-Geo_2012"	"4"
"BwIM-AFG-63_2016"	"2"
"BwIM-ALB-46_2015"	"2"
"BwIM-BGR-21_2016"	"2"
"BwIM-IRN-28_2015"	"2"
"BwIM-IRN-37_2015"	"2"
"BwIM-IRQ-11_2014"	"2"
"BwIM-IRQ-32_2014"	"2"
"BwIM-IRQ-43_2015"	"2"
"BwIM-ITA-55_2016"	"1"
"BwIM-JOR-13_2015"	"2"
"BwIM-KWT-42_2016"	"2"
"BwIM-MAR-25_2016"	"1"
"BwIM-SAU-09_2015"	"2"
"BwIM-SOM-36a_2014"	"3"
"BwIM-SOM-36b_2014"	"3"
"BwIM-SYR-01_2015"	"2"
"BwIM-SYR-04_2015"	"2"
"BwIM-SYR-05_2015"	"2"
"BwIM-SYR-07_2015"	"2"
"BwIM-SYR-08_2016"	"2"
"BwIM-SYR-10_2016"	"2"
"BwIM-SYR-14_2015"	"2"
"BwIM-SYR-23_2016"	"2"
"BwIM-SYR-26_2015"	"2"
