Query	Match	Name	Organism
group_1	WP_004685546	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_100	WP_004685077	lipopolysaccharide biosynthesis protein [Brucella melitensis]	Brucella melitensis
group_1001	WP_004685303	MULTISPECIES: aminopeptidase [Brucella]	Brucella
group_1002	WP_127840809	substrate-binding domain-containing protein [Brucella melitensis]	Brucella melitensis
group_1005	WP_002965189	MULTISPECIES: Gfo/Idh/MocA family oxidoreductase [Brucella]	Brucella
group_1006	WP_002965183	MULTISPECIES: isoprenylcysteine carboxylmethyltransferase family protein [Brucella]	Brucella
group_1007	WP_004685292	benzoate/H(+) symporter BenE family transporter [Brucella melitensis]	Brucella melitensis
group_1008	WP_004685291	YdcF family protein [Brucella melitensis]	Brucella melitensis
group_1009	WP_002965170	bifunctional folylpolyglutamate synthase/dihydrofolate synthase [Brucella abortus]	Brucella abortus
group_1010	WP_025199981	PAS domain-containing sensor histidine kinase [Brucella inopinata]	Brucella inopinata
group_1012	WP_002970401	MULTISPECIES: DUF1402 family protein [Brucella]	Brucella
group_1013	WP_004685259	MULTISPECIES: murein L,D-transpeptidase [Brucella]	Brucella
group_1015	WP_005974219	shikimate kinase [Brucella melitensis]	Brucella melitensis
group_1016	WP_004684502	MULTISPECIES: DUF6065 family protein [Brucella]	Brucella
group_1017	WP_005970584	MULTISPECIES: outer membrane lipoprotein carrier protein LolA [Brucella]	Brucella
group_1018	WP_002965046	MULTISPECIES: TlpA disulfide reductase family protein [Brucella]	Brucella
group_1020	WP_002965036	MULTISPECIES: electron transfer flavoprotein subunit alpha/FixB family protein [Brucella]	Brucella
group_1021	WP_004684465	MULTISPECIES: (deoxy)nucleoside triphosphate pyrophosphohydrolase [Brucella]	Brucella
group_1023	WP_046722098	LysE family translocator [Brucella melitensis]	Brucella melitensis
group_1024	WP_004685220	dihydrolipoyl dehydrogenase [Brucella melitensis]	Brucella melitensis
group_1025	WP_005974309	ubiquinone biosynthesis hydroxylase [Brucella melitensis]	Brucella melitensis
group_1026	WP_004685215	ammonium transporter [Brucella melitensis]	Brucella melitensis
group_1028	WP_005974330	DUF4167 domain-containing protein [Brucella melitensis]	Brucella melitensis
group_1029	WP_004685362	DEAD/DEAH box helicase [Brucella melitensis]	Brucella melitensis
group_1030	WP_004687866	porin family protein [Brucella neotomae]	Brucella neotomae
group_1031	WP_004685512	heme lyase CcmF/NrfE family subunit [Brucella melitensis]	Brucella melitensis
group_1032	WP_004683353	MULTISPECIES: sel1 repeat family protein [Brucella]	Brucella
group_1033	WP_004685523	site-specific integrase [Brucella melitensis]	Brucella melitensis
group_1034	WP_024768031	MULTISPECIES: ATP synthase subunit E [Brucella]	Brucella
group_1035	WP_004685529	folate-binding protein YgfZ [Brucella melitensis]	Brucella melitensis
