ProteinID	Name	Organism
ACD72426	Rhodopsin-like GPCR superfamily [Brucella abortus S19]	Brucella abortus S19
EEW87607	LOW QUALITY PROTEIN: hydrolase, partial [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
ENQ89694	hypothetical protein C061_01673 [Brucella melitensis F5/07-239A]	Brucella melitensis F5/07-239A
WP_141066231	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme, partial [Brucella melitensis]	Brucella melitensis
AAL52164	ribosomal large subunit pseudouridine synthase c [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
WP_002970881	helix-turn-helix domain-containing protein, partial [Brucella abortus]	Brucella abortus
WP_022583545	antibiotic acetyltransferase [Brucella abortus]	Brucella abortus
AEQ08173	hypothetical protein BMNI_I0545 [Brucella melitensis NI]	Brucella melitensis NI
AIJ84936	CBS domain protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
AAL52282	hypothetical protein BMEI1101 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
AIJ85133	alkaline phosphatase family protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
OZV57555	aminopeptidase, partial [Brucella melitensis]	Brucella melitensis
SPU67009	peptidyl-tRNA hydrolase [Brucella neotomae]	Brucella neotomae
ENS87145	hypothetical protein B997_01408 [Brucella melitensis UK3/06]	Brucella melitensis UK3/06
