Query	Match	Name	Organism
aaeA	WP_046722132	HlyD family secretion protein [Brucella melitensis]	Brucella melitensis
alkB	WP_004681863	MULTISPECIES: DNA oxidative demethylase AlkB [Brucella]	Brucella
ansB	WP_005974271	MULTISPECIES: asparaginase [Brucella]	Brucella
aqpZ	WP_004685246	aquaporin Z [Brucella melitensis]	Brucella melitensis
betI	ADZ86511	transcriptional repressor BetI [Brucella melitensis M5-90]	Brucella melitensis M5-90
ccoN	WP_002963527	MULTISPECIES: cytochrome-c oxidase, cbb3-type subunit I [Brucella]	Brucella
ccoO	WP_002963526	MULTISPECIES: cytochrome-c oxidase, cbb3-type subunit II [Brucella]	Brucella
ccoS	WP_006173764	MULTISPECIES: cbb3-type cytochrome oxidase assembly protein CcoS [Brucella]	Brucella
cinA	WP_004685671	CinA family protein [Brucella melitensis]	Brucella melitensis
clpS	AAL51996	protein ylja [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
cobN	WP_004685719	cobaltochelatase subunit CobN [Brucella melitensis]	Brucella melitensis
comM	SPU57066	Mg chelatase-like protein [Brucella melitensis]	Brucella melitensis
ctaD	WP_065887306	cytochrome c oxidase subunit I [Brucella melitensis]	Brucella melitensis
cysD	AAL52936	sulfate adenylyltransferase subunit 2 [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
cysG_2	WP_004683946	MULTISPECIES: precorrin-2 C(20)-methyltransferase [Brucella]	Brucella
cysW_2	WP_046722122	sulfate ABC transporter permease subunit CysW [Brucella melitensis]	Brucella melitensis
dhaL_1	WP_002967866	MULTISPECIES: dihydroxyacetone kinase subunit L [Brucella]	Brucella
dnaA_2	AEQ08210	hypothetical protein BMNI_I0582 [Brucella melitensis NI]	Brucella melitensis NI
exbD	SPU64542	TonB system transport protein ExbD [Brucella melitensis]	Brucella melitensis
fabA	ERM85647	3-hydroxydecanoyl-ACP dehydratase [Brucella abortus 82]	Brucella abortus 82
fabI_2	5KOI_A	Chain A, Enoyl-[acyl-carrier-protein] reductase [NADH]	Brucella abortus bv. 1 str. 9-941
fadB	AIJ86469	enoyl-CoA hydratase/isomerase family protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
flbT	WP_004680988	MULTISPECIES: flagellar biosynthesis repressor FlbT [Brucella]	Brucella
flgD	WP_002972256	flagellar hook assembly protein FlgD [Brucella abortus]	Brucella abortus
fxsA	WP_004685281	membrane protein FxsA [Brucella melitensis]	Brucella melitensis
glpD	WP_004686639	MULTISPECIES: glycerol-3-phosphate dehydrogenase [Brucella]	Brucella
glpK	WP_005974476	glycerol kinase [Brucella melitensis]	Brucella melitensis
gltA	WP_004683858	MULTISPECIES: citrate synthase [Brucella]	Brucella
