Gene	Africa.America	Fertile.Crescent	Indo.Pacific	Russia	Western.Mediterranean	Match	COG	FunctionalCategory	Name	Gene.y	FunctionalPathway
tgt_2	TRUE	TRUE	TRUE	FALSE	TRUE	WP_005968547	COG0343	J	Queuine/archaeosine tRNA-ribosyltransferase	Tgt	tRNA modification
group_46	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2980	TRUE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_903	TRUE	TRUE	TRUE	TRUE	FALSE	WP_004686250	COG0456	J	Ribosomal protein S18 acetylase RimI and related acetyltransferases	RimI	
group_902	TRUE	TRUE	TRUE	TRUE	FALSE	WP_004686715	COG1126	E	ABC-type polar amino acid transport system, ATPase component	GlnQ	
group_2617	TRUE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_1239	TRUE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2601	TRUE	FALSE	TRUE	TRUE	TRUE	WP_005968547	COG0343	J	Queuine/archaeosine tRNA-ribosyltransferase	Tgt	tRNA modification
group_945	TRUE	TRUE	TRUE	FALSE	TRUE	WP_002975117	COG2963	X	Transposase InsE and inactivated derivatives	InsE	
group_2156	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2618	TRUE	TRUE	TRUE	TRUE	FALSE	WP_012091500	COG2986	E	Histidine ammonia-lyase	HutH	
group_707	TRUE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_3917	TRUE	TRUE	FALSE	FALSE	TRUE	WP_002969982	COG3293	X	Transposase		
group_201	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
betA_1	TRUE	FALSE	FALSE	FALSE	TRUE	WP_012092477	COG2303	IR	Choline dehydrogenase or related flavoprotein	BetA	Non-phosphorylated Entner-Doudoroff pathway
group_4163	TRUE	TRUE	FALSE	FALSE	TRUE	WP_005970228	COG3293	X	Transposase		
group_2616	TRUE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_2652	TRUE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
group_3175	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA
group_2300	TRUE	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
