Query	Match	PIdent	Length	Mismatches	Gapopen	QStart	QEnd	SStart	SSend	Evalue	Bitscore	Taxa
aldH1	WP_006234428.1	98.718	156	2	0	43	510	315	470	2.16e-107	324	235
apaG	WP_002963468.1	100	130	0	0	1	390	1	130	1.02e-90	268	234
argF	WP_002963466.1	100	312	0	0	1	936	1	312	0	651	234
argH	WP_002965047.1	100	466	0	0	7	1404	1	466	0	957	234
aspS	WP_004683546.1	100	595	0	0	1	1785	1	595	0	1228	234
bluB	WP_002965598.1	100	207	0	0	1	621	1	207	2.35e-153	432	234
carA	WP_002964590.1	100	407	0	0	1	1221	1	407	0	832	234
carB	WP_004684046.1	100	1162	0	0	1	3486	1	1162	0	2335	234
ccmE	WP_008933880.1	99.394	165	1	0	1	495	1	165	3.4e-93	277	520448
ccmI	WP_004686785.1	100	379	0	0	1	1137	1	379	0	612	234
cobA_2	WP_032450920.1	99.163	478	4	0	22	1455	1	478	0	850	1160235
cobT_1	WP_069125125.1	99.705	339	1	0	1	1017	1	339	0	542	29459
coxB	WP_005969785.1	100	284	0	0	1	852	1	284	0	555	234
cysW_1	WP_076770952.1	99.653	288	1	0	1	864	1	288	1.82e-151	434	2632610
dapD	WP_002965622.1	100	284	0	0	1	852	1	284	0	581	234
der	WP_004682999.1	100	483	0	0	1	1449	1	483	0	912	234
dnaA_1	WP_006104384.1	99.817	546	1	0	1	1638	1	546	0	999	235
elaA	WP_002968104.1	97.826	138	3	0	1	414	1	138	3.59e-94	277	235
fbcH	WP_004684075.1	100	432	0	0	1	1296	1	432	0	831	234
flaF	WP_002966647.1	100	114	0	0	1	342	1	114	2.48e-75	228	234
flgA	WP_002966427.1	100	160	0	0	1	480	1	160	1.81e-89	267	234
flgB	WP_004681368.1	100	126	0	0	1	378	1	126	2.85e-77	233	234
fmt	WP_004682455.1	100	306	0	0	1	918	1	306	0	619	234
folB	WP_004685641.1	99.16	119	1	0	1	357	1	119	2.09e-81	243	29459
glcA_1	WP_023598755.1	99.704	338	1	0	1	1014	208	545	0	623	120577
glmS	WP_004684961.1	100	607	0	0	1	1821	1	607	0	1210	234
glmU	WP_004684960.1	100	441	0	0	1	1323	1	441	0	890	29459
glyA2	WP_005973536.1	100	436	0	0	1	1308	1	436	0	896	29459
gmk	WP_002963622.1	100	205	0	0	1	615	16	220	4.91e-148	419	234
group_1	WP_002965542.1	99.18	122	1	0	1	366	1	122	1.06e-73	224	234
group_100	WP_004683305.1	100	291	0	0	1	873	1	291	0	592	234
group_1030	WP_004684831.1	100	427	0	0	1	1281	1	427	0	785	29459
group_1079	WP_004685291.1	100	211	0	0	1	633	1	211	3.29e-143	407	29459
group_1089	WP_127841117.1	100	187	0	0	136	696	46	232	1.69e-84	260	29459
group_1104	WP_002965608.1	100	230	0	0	1	690	1	230	5.08e-162	456	234
group_1132	WP_002963726.1	100	149	0	0	1	447	1	149	2.24e-105	306	234
group_1185	WP_002964461.1	99.624	266	1	0	1	798	1	266	9.48e-164	465	234
group_1277	WP_004681215.1	100	172	0	0	1	516	1	172	2.82e-108	316	234
group_1295	WP_002966643.1	100	227	0	0	1	681	1	227	4.39e-142	405	234
group_1300	WP_004688319.1	99.623	531	2	0	1	1593	136	666	0	1066	234
group_1313	WP_004685594.1	100	222	0	0	1	666	1	222	2.4e-162	456	29459
group_1342	WP_002967274.1	100	408	0	0	1	1224	1	408	0	790	234
group_1354	WP_004683323.1	100	235	0	0	1	705	1	235	1.74e-168	473	234
group_1361	WP_225868622.1	100	92	0	0	1	276	27	118	2.12e-50	164	29459
group_1362	WP_002963818.1	100	55	0	0	1	165	1	55	2.79e-32	114	234
group_14	WP_005973133.1	100	1582	0	0	1	4746	1	1582	0	2815	29459
group_1495	WP_025270785.1	99.632	272	1	0	1	816	1	272	3.84e-173	488	29459
group_1534	WP_004684539.1	100	369	0	0	1	1107	1	369	0	659	234
group_1575	WP_004684772.1	100	279	0	0	1	837	1	279	0	526	234
group_1608	WP_002971536.1	100	80	0	0	1	240	1	80	5.47e-52	166	234
group_1617	WP_006097122.1	100	62	0	0	100	285	19	80	1.62e-35	125	235
group_1621	WP_002964883.1	100	193	0	0	1	579	1	193	4.54e-120	347	234
group_163	WP_015799953.1	99.091	550	5	0	1	1650	1	550	0	1113	444163
group_1633	WP_004685830.1	100	191	0	0	1	573	1	191	1.01e-127	366	29459
group_1689	WP_004683956.1	100	148	0	0	1	444	1	148	1.77e-91	271	234
group_169	WP_004684984.1	100	356	0	0	1	1068	1	356	0	745	234
group_178	WP_002963705.1	100	340	0	0	1	1020	1	340	0	699	234
group_1803	WP_004684678.1	100	214	0	0	46	687	16	229	4.34e-133	383	234
group_187	WP_006258297.1	99.576	472	2	0	1	1416	1	472	0	887	29459
group_1907	WP_002970018.1	100	68	0	0	1	204	1	68	7.25e-41	137	234
group_207	WP_004681061.1	100	552	0	0	1	1656	9	560	0	1129	234
group_209	WP_127840839.1	100	288	0	0	1	864	1	288	0	553	29459
group_2136	WP_153528633.1	99.695	328	1	0	1	984	1	328	1.48e-169	483	2592625
group_2152	WP_004685854.1	99.785	465	1	0	1	1395	1	465	0	868	234
group_2172	WP_002971137.1	99.346	459	3	0	1	1377	1	459	0	896	235
group_2188	WP_006088496.1	99.559	227	1	0	1	681	1	227	3.49e-140	401	235
group_2200	WP_004685777.1	100	69	0	0	1	207	1	69	6.61e-43	142	29459
group_2211	WP_002969148.1	100	229	0	0	1	687	1	229	6.95e-145	413	234
group_2323	WP_004684798.1	100	324	0	0	1	972	1	324	0	649	234
group_2380	WP_002971643.1	100	64	0	0	1	192	1	64	4.5e-41	137	234
group_2381	WP_002965526.1	100	202	0	0	1	606	1	202	3.76e-149	421	234
group_2398	WP_002965436.1	100	81	0	0	1	243	1	81	2.76e-48	157	234
group_2399	WP_002965418.1	99.541	218	1	0	1	654	1	218	1.74e-138	396	234
group_2400	WP_002966536.1	100	120	0	0	1	360	1	120	1e-80	242	2826938
group_2413	WP_005968957.1	100	127	0	0	1	381	1	127	4.07e-51	167	234
group_2447	WP_011005196.1	100	107	0	0	1	321	7	113	3.45e-73	222	29461
group_2460	WP_002963588.1	100	84	0	0	1	252	1	84	9.98e-53	168	2826938
group_2465	WP_004682938.1	100	182	0	0	1	546	1	182	3.1e-125	359	234
group_2470	WP_004682379.1	99.705	339	1	0	1	1017	1	339	0	689	234
group_2471	WP_008936650.1	100	31	0	0	1	93	1	31	1.41e-09	60.8	2632610
group_2472	WP_004682211.1	100	148	0	0	1	444	1	148	6.13e-107	310	234
group_2487	WP_002966234.1	100	499	0	0	1	1497	1	499	0	1046	234
group_2488	WP_002964973.1	100	152	0	0	1	456	1	152	3.82e-105	306	234
group_2503	WP_076780379.1	98.305	118	2	0	1	354	1	118	1.04e-65	204	2632610
group_2504	WP_004685326.1	100	299	0	0	1	897	1	299	0	608	29459
group_2516	WP_002966354.1	100	225	0	0	1	675	1	225	2.3e-163	459	234
group_2522	WP_005974677.1	99.554	224	1	0	1	672	1	224	1.92e-131	379	29459
group_2537	WP_004684232.1	100	263	0	0	1	789	1	263	8.61e-179	501	234
