Query	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene	FunctionalPathway	PMID	PDBID
aaeA_2	WP_004686888	COG1566	0	V	Multidrug resistance efflux pump EmrA	EmrA			4TKO
accC	WP_004683710	COG0439	0	I	Biotin carboxylase	AccC	Fatty acid biosynthesis		1BNC
accD	WP_004683910	COG4799	0	I	Acetyl-CoA carboxylase, carboxyltransferase component	MmdA			1OD2
aceA	WP_004684105	COG2224	0	C	Isocitrate lyase	AceA	TCA cycle, glyoxylate bypass		1DQU
acnA	WP_004684644	COG1048	0	C	Aconitase A	AcnA	Lysine biosynthesisTCA cycle		1ACO
acs_2	WP_004684605	COG0365	2	I	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Acs		14638756	4B2O
acs_3	WP_004685853	COG0365	1	I	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Acs		14638756	4B2O
ada	WP_004682986	COG0350	1	L	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)	AdaB		29061663	6RLA
ada	WP_004682986	COG2169	1	L	Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains	AdaA			1ADN
addA	WP_011005472	COG1074	0	L	3'-5' helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V)	RecB		29901759;30601118	3U44
addB	WP_004684550	COG1208	2	JM	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	GCD1			6JQ8
ade	WP_004681932	COG1001	0	F	Adenine deaminase	AdeC			3NQB
adeP	WP_010658955	COG2252	0	F	Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family	NCS2		24169576;24214977	
ahcY	WP_004684548	COG0499	0	H	S-adenosylhomocysteine hydrolase	SAM1			1A7A
alaS	WP_002964330	COG0013	0	J	Alanyl-tRNA synthetase	AlaS	Aminoacyl-tRNA synthetases		2ZZE
alkB	WP_004681863	COG3145	0	L	Alkylated DNA repair dioxygenase AlkB	AlkB			3KHC
alr	WP_002967219	COG0787	0	M	Alanine racemase	Alr	Mureine biosynthesis		1BD0
apaG	WP_002963468	COG2967	0	P	Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport	ApaG			1TZA
APOA1BP	WP_004683755	COG0062	1	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	Nnr1			3RRB
APOA1BP	WP_004683755	COG0063	1	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	Nnr2			1KYH
aqpZ	WP_004684491	COG0580	0	G	Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	GlpF			1FQY
aqpZ_2	WP_004684491	COG0580	0	G	Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family)	GlpF			1FQY
arfB	WP_004684545	COG1186	2	J	Protein chain release factor PrfB	PrfB	Translation factors		1GQE
argB	WP_002965625	COG0548	0	E	N-acetylglutamate kinase	ArgB	Arginine biosynthesis		3S6G
argC	WP_004683593	COG0002	0	E	N-acetyl-gamma-glutamylphosphate reductase	ArgC	Arginine biosynthesis		3DR3
argD	WP_002963465	COG4992	0	E	Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase	ArgD	Arginine biosynthesis		2E54
argF	WP_002963466	COG0078	0	E	Ornithine carbamoyltransferase	ArgF	Arginine biosynthesis		1A1S
argH	WP_002965047	COG0165	0	E	Argininosuccinate lyase	ArgH	Arginine biosynthesis		1AOS
argJ	WP_004684467	COG1364	0	E	Glutamate N-acetyltransferase (ornithine transacetylase)	ArgJ	Arginine biosynthesis		1VRA
arnC	WP_025198574	COG3394	0	G	Chitooligosaccharide deacetylase ChbG, YdjC/CelG family	ChbG		18177738;22797760	2I5I
aroA	WP_004684607	COG0128	0	E	5-enolpyruvylshikimate-3-phosphate synthase	AroA	Aromatic amino acid biosynthesis		4N3P
aroB	WP_004684507	COG0337	0	E	3-dehydroquinate synthetase	AroB	Aromatic amino acid biosynthesis		3ZOK
aroC	WP_002963585	COG0082	0	E	Chorismate synthase	AroC	Aromatic amino acid biosynthesis		1Q1L
aroQ	WP_005969156	COG0757	0	E	3-dehydroquinate dehydratase	AroQ	Aromatic amino acid biosynthesis		1D0I
