Query	Match	PIdent	Length	Mismatches	Gapopen	QStart	QEnd	SStart	SSend	Evalue	Bitscore	Taxa
aaeA	WP_046722132.1	100	342	0	0	1	1026	9	350	0	650	29459
bmaC_1	WP_005974670.1	99.065	107	1	0	1	321	1	107	4.94e-39	135	29459
group_1138	WP_005969653.1	100	79	0	0	1	237	1	79	1.55e-50	162	234
group_1322	WP_105984711.1	98.246	57	1	0	1	171	14	70	2.48e-33	117	2025889
group_1977	WP_004682221.1	100	215	0	0	645	1	1	215	4.93e-153	443	234
group_203	WP_005973085.1	100	177	0	0	1	531	1	177	3.94e-100	295	234
group_2087	WP_004686671.1	100	201	0	0	1	603	1	201	3.05e-149	421	234
group_2303	WP_025198406.1	100	109	0	0	327	1	1	109	1.94e-72	231	234
group_2603	WP_077281771.1	96.703	91	3	0	1	273	8	98	7.64e-77	187	234
group_2664	WP_004687950.1	99.16	119	1	0	142	498	1	119	7.07e-84	251	234
group_2791	WP_104640107.1	100	105	0	0	315	1	348	452	1.13e-31	126	235
group_317	WP_004685477.1	100	249	0	0	1	747	1	249	0	506	29459
group_3279	WP_002976069.1	100	179	0	0	537	1	39	217	2.18e-126	369	234
group_3846	WP_004684624.1	99.167	120	1	0	1	360	1	120	2.69e-81	244	234
group_4134	WP_029643036.1	100	130	0	0	1	390	8	137	3.26e-92	271	234
group_425	WP_127840855.1	100	100	0	0	70	369	1	100	2.32e-65	202	29459
group_50	WP_054598420.1	97.5	120	3	0	1	360	1	120	2.31e-80	240	29459
group_679	WP_002974022.1	100	124	0	0	1	372	1	124	1.94e-84	251	234
group_808	WP_004681278.1	100	377	0	0	1	1131	1	377	0	719	234
pnp	WP_004684585.1	100	699	0	0	1	2097	1	699	0	1386	234
tgt_1	WP_080502841.1	100	202	0	0	1	606	9	210	1.44e-147	417	234
