Query	Match	Name	Organism
addA	WP_005974173	double-strand break repair helicase AddA [Brucella melitensis]	Brucella melitensis
aldH1	AAL53482	coniferyl-aldehyde dehydrogenase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
argF	WP_002963466	MULTISPECIES: ornithine carbamoyltransferase [Brucella]	Brucella
argH	ADZ87912	argininosuccinate lyase [Brucella melitensis M5-90]	Brucella melitensis M5-90
aspS	WP_004683546	MULTISPECIES: aspartate--tRNA ligase [Brucella]	Brucella
bluB	WP_002965598	MULTISPECIES: 5,6-dimethylbenzimidazole synthase [Brucella]	Brucella
carA	EEH14137	carbamoyl-phosphate synthase, small subunit [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
carB	WP_004684046	MULTISPECIES: carbamoyl-phosphate synthase large subunit [Brucella]	Brucella
ccmE	WP_008933880	cytochrome c maturation protein CcmE [Brucella sp. NVSL 07-0026]	Brucella sp. NVSL 07-0026
ccmI	EEZ11461	cytochrome c-type biogenesis protein cycH [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
cobA_2	ENT07223	uroporphyrinogen-III C-methyltransferase [Brucella sp. 63/311]	Brucella sp. 63/311
cobT_1	WP_069125125	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [Brucella melitensis]	Brucella melitensis
cobU	WP_002964426	MULTISPECIES: bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase [Brucella]	Brucella
coxB	EEH15673	cytochrome c oxidase, subunit II [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
cysW_1	WP_076770952	MULTISPECIES: sulfate ABC transporter permease subunit CysW [unclassified Brucella]	unclassified Brucella
dapD	3EG4_A	Chain A, 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	Brucella suis
der	WP_004682999	MULTISPECIES: ribosome biogenesis GTPase Der [Brucella]	Brucella
dnaA_1	WP_006104384	chromosomal replication initiator protein DnaA [Brucella abortus]	Brucella abortus
elaA	AAL53001	acetyltransferase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
fadJ	AIJ87320	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
fbcH	WP_082252149	cytochrome b N-terminal domain-containing protein [Brucella melitensis]	Brucella melitensis
flaF	WP_002966647	MULTISPECIES: flagellar biosynthesis regulator FlaF [Brucella]	Brucella
flgA	ADZ67400	flagellar basal body P-ring biosynthesis protein FlgA [Brucella melitensis M28]	Brucella melitensis M28
flgB	WP_004681368	MULTISPECIES: flagellar basal body rod protein FlgB [Brucella]	Brucella
fmt	WP_004682455	MULTISPECIES: methionyl-tRNA formyltransferase [Brucella]	Brucella
folB	WP_004685641	dihydroneopterin aldolase [Brucella melitensis]	Brucella melitensis
glcA_1	AIJ84917	L-lactate permease family protein [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
glmS	AAL53927	glucosamine-fructose-6-phosphate aminotransferase (isomerizing) [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
glmU	WP_004684960	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Brucella melitensis]	Brucella melitensis
glyA2	WP_005973536	serine hydroxymethyltransferase [Brucella melitensis]	Brucella melitensis
group_1	WP_006195439	IS5 family transposase [Brucella suis]	Brucella suis
group_100	WP_004683305	MULTISPECIES: DUF2163 domain-containing protein [Brucella]	Brucella
group_1013	WP_004685481	threonine synthase [Brucella melitensis]	Brucella melitensis
group_1030	WP_004684831	FAD-binding oxidoreductase [Brucella melitensis]	Brucella melitensis
group_1079	WP_004685291	YdcF family protein [Brucella melitensis]	Brucella melitensis
group_1089	WP_127841117	SH3 domain-containing protein [Brucella melitensis]	Brucella melitensis
group_1104	ENS55884	hypothetical protein C036_02331 [Brucella melitensis F1/06 B10]	Brucella melitensis F1/06 B10
group_1132	WP_002963726	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1185	WP_002964461	MULTISPECIES: ABC transporter substrate-binding protein [Brucella]	Brucella
group_1240	WP_002968106	ActS/PrrB/RegB family redox-sensitive histidine kinase, partial [Brucella abortus]	Brucella abortus
group_1277	WP_004681215	MULTISPECIES: OmpA family protein [Brucella]	Brucella
group_1295	WP_002966643	MULTISPECIES: response regulator transcription factor [Brucella]	Brucella
group_1300	WP_004688319	MULTISPECIES: murein L,D-transpeptidase [Brucella]	Brucella
group_1313	WP_004685594	protein-L-isoaspartate(D-aspartate) O-methyltransferase [Brucella melitensis]	Brucella melitensis
group_1342	WP_002967274	MULTISPECIES: ABC transporter substrate-binding protein [Brucella]	Brucella
group_1354	WP_004683323	MULTISPECIES: response regulator transcription factor [Brucella]	Brucella
group_1361	AIJ85581	hypothetical protein DK62_734 [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_1362	WP_002963818	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_1363	EPZ75101	short-chain dehydrogenase [Brucella melitensis ADMAS-G1]	Brucella melitensis ADMAS-G1
group_14	WP_005973133	hypothetical protein [Brucella melitensis]	Brucella melitensis
group_1406	Q8YFS6	RecName: Full=Modification methylase BabI; Short=M.BabI; AltName: Full=Adenine-specific methyltransferase BabI; AltName: Full=DNA methyltransferase CcrM; AltName: Full=M.CcrMI ortholog	Brucella melitensis bv. 1 str. 16M
group_1495	WP_025270785	shikimate dehydrogenase [Brucella melitensis]	Brucella melitensis
group_15	WP_115636391	peptidoglycan-binding protein [Brucella melitensis]	Brucella melitensis
group_1534	WP_004684539	MULTISPECIES: murein transglycosylase A [Brucella]	Brucella
group_1538	AIJ84912	phosphoenolpyruvate carboxykinase ATP [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_1575	WP_004684772	MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate reductase [Brucella]	Brucella
group_1609	WP_002963707	MULTISPECIES: type II toxin-antitoxin system death-on-curing family toxin [Brucella]	Brucella
group_1617	WP_006097122	hypothetical protein [Brucella abortus]	Brucella abortus
group_1618	EEH13273	lytic murein transglycosylase [Brucella ceti str. Cudo]	Brucella ceti str. Cudo
group_1621	WP_002964883	MULTISPECIES: LPS assembly lipoprotein LptE [Brucella]	Brucella
group_163	EEZ09553	aminotransferase class-III [Brucella melitensis bv. 3 str. Ether]	Brucella melitensis bv. 3 str. Ether
group_169	WP_004684984	MULTISPECIES: Gfo/Idh/MocA family oxidoreductase [Brucella]	Brucella
group_1718	WP_025198054	NUDIX hydrolase [Brucella suis]	Brucella suis
group_178	WP_002963705	MULTISPECIES: asparaginase [Brucella]	Brucella
group_187	WP_006258297	D-alanyl-D-alanine carboxypeptidase [Brucella melitensis]	Brucella melitensis
group_1907	WP_002970018	MULTISPECIES: thioredoxin reductase [Brucella]	Brucella
group_1948	WP_004682905	MULTISPECIES: alpha/beta hydrolase [Brucella]	Brucella
group_1953	ABQ60130	conserved hypothetical protein [Brucella ovis ATCC 25840]	Brucella ovis ATCC 25840
group_1962	AAN34117	hypothetical protein BRA0946 [Brucella suis 1330]	Brucella suis 1330
group_1990	WP_006015786	beta-ketoacyl-ACP synthase III [Brucella ovis]	Brucella ovis
group_207	WP_004681061	MULTISPECIES: amidohydrolase [Brucella]	Brucella
group_209	WP_127840839	fumarylacetoacetate hydrolase family protein [Brucella melitensis]	Brucella melitensis
group_2116	WP_004681430	MULTISPECIES: ATP phosphoribosyltransferase [Brucella]	Brucella
group_2136	WP_004689966	MULTISPECIES: SPFH/Band 7/PHB domain protein [Brucella]	Brucella
group_2137	WP_141062193	NfeD family protein [Brucella melitensis]	Brucella melitensis
group_2152	WP_004685854	MULTISPECIES: RsmB/NOP family class I SAM-dependent RNA methyltransferase [Brucella]	Brucella
group_2172	ADZ66769	phosphoglucosamine mutase [Brucella melitensis M28]	Brucella melitensis M28
group_2183	AAL51607	acetyltransferase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
group_2200	WP_004685777	cold-shock protein [Brucella melitensis]	Brucella melitensis
group_2211	WP_002969148	MULTISPECIES: antibiotic acetyltransferase [Brucella]	Brucella
group_2235	EFG38181	predicted protein [Brucella sp. NVSL 07-0026]	Brucella sp. NVSL 07-0026
group_2323	WP_004684798	MULTISPECIES: 2-hydroxyacid dehydrogenase [Brucella]	Brucella
group_2349	WP_002967786	MULTISPECIES: urease accessory protein UreD [Brucella]	Brucella
group_2380	AAX73678	hypothetical protein BruAb1_0273 [Brucella abortus bv. 1 str. 9-941]	Brucella abortus bv. 1 str. 9-941
group_2381	WP_002965526	MULTISPECIES: hypothetical protein [Brucella]	Brucella
group_2396	AIJ53567	hypothetical protein DK48_1880 [Brucella abortus]	Brucella abortus
group_2399	WP_002965418	MULTISPECIES: trimeric intracellular cation channel family protein [Brucella]	Brucella
group_2400	TWH04556	two-component system cell cycle response regulator CpdR [Ochrobactrum sp. J50]	Ochrobactrum sp. J50
group_2407	WP_023080973	4'-phosphopantetheinyl transferase [Brucella sp. 04-5288]	Brucella sp. 04-5288
group_2413	KFJ62815	cell wall degradation domain protein [Brucella abortus bv. 4 str. 292]	Brucella abortus bv. 4 str. 292
group_2414	AEW13162	molybdopterin-guanine dinucleotide biosynthesis protein B [Brucella canis HSK A52141]	Brucella canis HSK A52141
group_2447	AAL52139	thioredoxin reductase [Brucella melitensis bv. 1 str. 16M]	Brucella melitensis bv. 1 str. 16M
