Gene	00-2529-3_2000	00-2782_2000	00-2956-4_2000	00-3099-5733_2000	00-3099-5734_2000	00-4216_2000	01-3016-5171_2001	2008724259_2007	2011TE116411_2011	2011TE116911_2011	2011TE117111_2011	2011TE1178211_2011	2011TE1178911_2011	2011TE1179111_2011	2011TE1179311_2011	2011TE1179811_2011	2011TE1180211_2011	2011TE1180311_2011	2011TE1180511_2011	2011TE1181011_2011	2011TE1181411_2011	2011TE1181511_2011	2011TE1182111_2011	2011TE1182611_2011	2011TE1182811_2011	2011TE1184211_2011	2011TE1184411_2011	2011TE1237211_2011	2011TE1237311_2011	2011TE1284111_2011	2011TE1284911_2011	2011TE1354111_2011	2011TE199411_2011	2011TE199511_2011	2011TE2168711_2011	2011TE229911_2011	2011TE246111_2011	2011TE392211_2011	2011TE446711_2011	2011TE447111_2011	2011TE447411_2011	2011TE447811_2011	2011TE447911_2011	2011TE448011_2011	2011TE448411_2011	2011TE448611_2011	2011TE448811_2011	2011TE449111_2011	2011TE449611_2011	2011TE450011_2011	2011TE605711_2011	2011TE607611_2011	2011TE629911_2011	2011TE629912_2011	2011TE683711_2011	2011TE683811_2011	2011TE683911_2011	2011TE684011_2011	2011TE684411_2011	2011TE74411_2011	2011TE755611_2011	2012TE1848511_2012	2012TE2422611_2012	2012TE2424011_2012	2013TE1352811_2013	2013TE1500311_2013	2013TE1500511_2013	2013TE1501611_2013	2013TE1501911_2013	2013TE1502111_2013	2013TE1502811_2013	2013TE1502911_2013	2013TE254711_2013	2014TE1651012_2014	2014TE1651017_2014	2015CB2220119_2015	2015CB3742120_2015	2015CB3742127_2015	2015IS2529114_2015	2015IS2533111_2015	2015IS2547111_2015	2015IS256619_2015	2015IS3088130_2015	2015IS3088136_2015	2015IS3088142_2015	2015IS341317_2015	2015IS368118_2015	2015IS508818_2015	2015IS594717_2015	2015IS604318_2015	2015TE1184311_2015	2015TE1184511_2015	2015TE1184711_2015	2015TE1184712_2015	2015TE1184913_2015	2015TE1614211_2015	2015TE1614212_2015	2015TE1616512_2015	2015TE1617311_2015	2015TE1618111_2015	2015TE1618911_2015	2015TE1619411_2015	2015TE1620011_2015	2015TE2182411_2015	2015TE2182511_2015	2015TE2627011_2015	2016CB126517_2016	2016TE1727011_2016	2016TE1727111_2016	2016TE600811_2016	2016TE634411_2016	2016TE70312_2015	2016TE70511_2015	2017TE307211_2017	BRUC048_Unknown	BRUC101_Unknown	BwIM-ITA-55_2016	BwIM-MAR-25_2016	BwIMITA-45_2015	Ether-VerA_Unknown	Ether-VerB_Unknown	F15-06-7_2006	F5-07-239A_2007	Human-CT-US-1995_1995	NCTC10509_1961	R3-07-2_2007	UBA11147_Unknown	UBA8483_Unknown	UK31-99_1999
group_10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
xylA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
purK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alkJ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
