Query	Match	Name	Organism
aaeA	WP_016769548	MULTISPECIES: HlyD family secretion protein [Brucella]	Brucella
aaeA_2	WP_004684891	HlyD family secretion protein [Brucella melitensis]	Brucella melitensis
accC	WP_004685602	acetyl-CoA carboxylase biotin carboxylase subunit [Brucella melitensis]	Brucella melitensis
accD	WP_004683910	MULTISPECIES: acyl-CoA carboxylase subunit beta [Brucella]	Brucella
accD	WP_006117241	acyl-CoA carboxylase subunit beta [Brucella abortus]	Brucella abortus
aceA	WP_004684105	MULTISPECIES: isocitrate lyase [Brucella]	Brucella
acnA	WP_006258077	aconitate hydratase AcnA [Brucella melitensis]	Brucella melitensis
acs_2	WP_004687824	acetoacetate--CoA ligase [Brucella neotomae]	Brucella neotomae
acs_2	WP_002968065	MULTISPECIES: acetoacetate--CoA ligase [Brucella]	Brucella
acs_3	WP_004685853	MULTISPECIES: acetate--CoA ligase [Brucella]	Brucella
ada	WP_004685445	bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada [Brucella melitensis]	Brucella melitensis
addA	WP_005974173	double-strand break repair helicase AddA [Brucella melitensis]	Brucella melitensis
addB	WP_004684551	MULTISPECIES: double-strand break repair protein AddB [Brucella]	Brucella
ade	WP_004684934	adenine deaminase [Brucella melitensis]	Brucella melitensis
adeP	WP_005971258	MULTISPECIES: NCS2 family permease [Brucella]	Brucella
ahcY	WP_004685285	adenosylhomocysteinase [Brucella melitensis]	Brucella melitensis
alaS	WP_004685695	alanine--tRNA ligase [Brucella melitensis]	Brucella melitensis
aldA	WP_004685179	aldehyde dehydrogenase family protein [Brucella melitensis]	Brucella melitensis
aldH1	WP_006234428	coniferyl aldehyde dehydrogenase [Brucella abortus]	Brucella abortus
alkB	WP_004681863	MULTISPECIES: DNA oxidative demethylase AlkB [Brucella]	Brucella
alkJ	WP_004685814	GMC family oxidoreductase N-terminal domain-containing protein [Brucella melitensis]	Brucella melitensis
alr	WP_002967219	MULTISPECIES: alanine racemase [Brucella]	Brucella
ansB	WP_005974271	MULTISPECIES: asparaginase [Brucella]	Brucella
apaG	WP_002963468	MULTISPECIES: Co2+/Mg2+ efflux protein ApaG [Brucella]	Brucella
APOA1BP	WP_004683755	MULTISPECIES: bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase [Brucella]	Brucella
aqpZ	WP_004685246	aquaporin Z [Brucella melitensis]	Brucella melitensis
aqpZ_2	WP_181405406	aquaporin, partial [Brucella melitensis]	Brucella melitensis
araE	WP_002965581	MULTISPECIES: NAD-dependent succinate-semialdehyde dehydrogenase [Brucella]	Brucella
araE	WP_105985190	NAD-dependent succinate-semialdehyde dehydrogenase [Brucella sp. BCCN 84-3]	Brucella sp. BCCN 84-3
araE	WP_008934872	NAD-dependent succinate-semialdehyde dehydrogenase [Brucella sp. NVSL 07-0026]	Brucella sp. NVSL 07-0026
arfB	WP_002965154	MULTISPECIES: alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB [Brucella]	Brucella
argB	WP_002965625	MULTISPECIES: acetylglutamate kinase [Brucella]	Brucella
argC	WP_002963923	MULTISPECIES: N-acetyl-gamma-glutamyl-phosphate reductase [Brucella]	Brucella
argD	WP_002963465	MULTISPECIES: aspartate aminotransferase family protein [Brucella]	Brucella
argF	WP_002963466	MULTISPECIES: ornithine carbamoyltransferase [Brucella]	Brucella
argH	WP_002965047	MULTISPECIES: argininosuccinate lyase [Brucella]	Brucella
argJ	WP_016149282	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ [Brucella abortus]	Brucella abortus
arnC	WP_002966443	MULTISPECIES: ChbG/HpnK family deacetylase [Brucella]	Brucella
aroA	WP_004685324	MULTISPECIES: 3-phosphoshikimate 1-carboxyvinyltransferase [Brucella]	Brucella
aroB	WP_004684507	MULTISPECIES: 3-dehydroquinate synthase [Brucella]	Brucella
aroC	WP_002963585	MULTISPECIES: chorismate synthase [Brucella]	Brucella
aroQ	WP_002964037	MULTISPECIES: type II 3-dehydroquinate dehydratase [Brucella]	Brucella
arsC	WP_004685628	arsenate reductase (glutaredoxin) [Brucella melitensis]	Brucella melitensis
artQ	WP_002965020	MULTISPECIES: amino acid ABC transporter permease [Brucella]	Brucella
