Gene	Length	Sample	MeanCoverage	Status	CopyNumber
flhA	1140	Brancorsini	26.6331146054027	Core	1.31201674275965
group_1046	489	Brancorsini	27.1396766895365	Core	1.33697131324372
group_1322	174	Brancorsini	31.2013220876119	Core	1.53705856718984
group_1501	426	Brancorsini	27.3424665345777	Core	1.34696127032901
group_2030	492	Brancorsini	26.9966503845576	Core	1.32992546413565
group_2332	321	Brancorsini	26.6562433110092	Core	1.31315612316798
group_2352	282	Brancorsini	32.1364215229633	Accessory	1.58312400615571
group_3616	324	Brancorsini	27.5014875577659	Core	1.3547950610052
group_3769	393	Brancorsini	27.2700132268703	Core	1.34339203127497
group_3912	561	Brancorsini	27.0611848553373	Core	1.33310460061303
group_4134	393	Brancorsini	45.3045751106127	Accessory	2.23182162317126
group_50	363	Brancorsini	31.9011477509616	Accessory	1.57153380603936
group_931	1194	Brancorsini	26.8049745311182	Core	1.32048301128621
modA	756	Brancorsini	28.7412156659856	Core	1.41586730353308
bamD	864	Geridu	4.13754826747436	Core	1.66854390150046
dsbB	627	Geridu	4.20697926036232	Core	1.69654325093863
dut	474	Geridu	5.28579077776463	Core	2.13159421877395
folP	840	Geridu	4.07282692924677	Core	1.64244380859145
galE_1	1008	Geridu	4.33511924534664	Core	1.74821810200072
group_1009	855	Geridu	4.18096704791758	Core	1.68605333864434
group_1137	318	Geridu	4.56546027710535	Accessory	1.8411074410394
group_1138	240	Geridu	4.4034598690856	Accessory	1.77577773963946
group_1576	717	Geridu	4.88472939698437	Core	1.96985869866201
group_1821	231	Geridu	4.86144006942684	Core	1.96046684074179
group_198	882	Geridu	7.86323001227356	Accessory	3.17099490686623
group_2119	240	Geridu	4.54581818076002	Core	1.83318639747664
group_2132	705	Geridu	4.09552496002123	Core	1.65159721499942
group_2269	1236	Geridu	4.1432223072368	Core	1.67083206440043
group_2275	363	Geridu	4.45031707801601	Core	1.79467378752772
group_2352	282	Geridu	5.4003793466937	Accessory	2.17780420727639
group_2525	390	Geridu	4.18129309195796	Core	1.68618482201566
group_2603	504	Geridu	6.14777433030256	Accessory	2.47920524511221
group_3629	960	Geridu	4.26424026505995	Core	1.71963482449998
group_3635	195	Geridu	4.17026427909496	Core	1.6817372464821
group_3743	555	Geridu	4.37474386359029	Core	1.76419747211212
group_3807	1365	Geridu	5.46920303645614	Core	2.20555865034467
group_3826	348	Geridu	4.44120651348404	Core	1.7909997815932
group_3827	528	Geridu	4.22177578605969	Core	1.70251022730234
group_3838	966	Geridu	4.090976028286	Core	1.64976277300273
group_3903	735	Geridu	4.24703631800271	Core	1.71269701034329
group_3982	453	Geridu	4.14838250907635	Core	1.67291301252558
group_3985	372	Geridu	4.10026731199675	Core	1.65350965733386
group_4009	1212	Geridu	4.30290735298311	Core	1.73522805255974
group_4042	708	Geridu	4.62571934626606	Core	1.86540804029732
group_4084	288	Geridu	4.23609875797449	Core	1.70828623422598
group_4095	285	Geridu	4.08698322497892	Core	1.64815260021991
group_4134	393	Geridu	22.3970928661431	Accessory	9.03204755504983
group_50	363	Geridu	4.3978472609748	Accessory	1.77351435020461
group_538	762	Geridu	4.23391697257535	Core	1.70740638836394
group_617	285	Geridu	4.85228839470334	Core	1.95677625635188
group_662	462	Geridu	5.12543638116702	Core	2.06692830233618
group_802	1029	Geridu	4.2919340011551	Core	1.73080284272821
hcaB_2	477	Geridu	4.34960232531977	Core	1.75405867550027
hslV	555	Geridu	4.15334474341767	Core	1.67491412654595
macB_2	801	Geridu	4.6901797557982	Core	1.89140290881851
rimM	570	Geridu	4.70181415856047	Core	1.89609469983136
tuf_1	1176	Geridu	4.61262179676552	Accessory	1.86012620793405
ubiE	810	Geridu	4.46289210096024	Core	1.79974490126185
wbkC	780	Geridu	4.41417850030192	Core	1.78010022860932
